Person,Bing Impressions,Bing Broad Impressions
Norma Stitz,195,203
Kelli McCarty,194,252
Jock Sturges,193,207
Tina Yuzuki,190,197
Eva Ionesco,189,305
Kristen Bjorn,188,194
Dick Pound,187,187
Taylor Wane,187,187
Devinn Lane,183,184
Jeff Stryker,178,201
Tylene Buck,174,189
Moana Pozzi,173,185
Lynn LeMay,171,179
Lolo Ferrari,169,171
Juli Ashton,168,172
Andrew Blake,162,202
Ashleigh Cummings,161,161
Long Dong Silver,161,161
Evan Stone,160,168
Dasha Nekrasova,160,160
Lolita Chakrabarti,160,160
Harry Reems,159,189
Jho Low,159,159
Jamie Gillis,154,154
Dick Strawbridge,151,159
Uri Geller,151,152
Dominic Cummings,149,161
Sarah Smith,147,149
Mick Blue,145,178
Aino Kishi,143,150
Dick Shawn,142,142
Karen Horney,141,141
Maxi Mounds,141,141
Sunset Thomas,140,141
Colleen Brennan,137,154
Suze Randall,137,140
Cathy Barry,133,156
Lolly Adefope,132,132
Zack Morris,128,191
Carol Connors,128,153
Nikki Charm,128,141
Chloe Jones,128,130
Shakuntala Devi,127,135
Alisha Klass,126,127
Nancy Giles,126,126
Rebecca Lord,125,155
Tiffany Million,123,125
Tee Grizzley,122,141
Randy West,121,127
Candida Royalle,121,121
Rebecca Bardoux,120,149
Billy Herrington,120,138
Karin Schubert,120,132
Randy Spears,119,125
Annabel Chong,119,119
Yasmine Lafitte,119,119
Kira Reed,118,157
Erik Everhard,118,118
Empedocles,116,119
Madison Young,112,118
Hannah Claydon,111,116
Zara Whites,110,111
Bobbi Eden,109,109
Francis Fukuyama,107,109
Scott Schwartz,107,107
Linzi Drew,106,107
Sharon Kane,104,113
Giles Panton,104,104
Dolly Buster,102,111
Shanna McCullough,102,108
Michelle Bauer,102,104
Porsche Lynn,102,102
Liu Xiaobo,100,101
Mimi Miyagi,98,103
James Cumming,97,97
Rene Bond,97,97
Dick Turpin,96,96
Elijah Cummings,95,95
Boy in the Box,94,191
Dasha Zhukova,93,93
Dick Durbin,90,103
Angel Kelly,90,94
Misty Dawn,90,92
Lorissa McComas,90,91
Quinn Cummings,90,90
Rhonda Jo Petty,90,90
Buck Adams,89,89
Ilona Staller,89,89
Jeannie Pepper,88,90
Lukas Ridgeston,88,88
Bong Go,86,133
Christian XXX,85,85
Erin Brown,85,85
Alaska Thunderfuck,83,84
Charlotte Kemp Muhl,83,83
Candy Barr,81,81
Kristi Myst,81,81
Teresa Orlowski,80,90
Lulu Devine,80,80
Honoka,79,244
Abi Titmuss,79,81
Dick Haymes,79,79
Shelley Lubben,79,79
Wesley Pipes,78,112
Ann Pornel,77,77
Nicki Hunter,76,76
Cressida Dick,75,86
GypsyCrusader,73,73
Zack Scott,72,180
Jo Guest,72,107
Arpad Miklos,72,72
Anna Falchi,71,71
Joey Stefano,70,71
Linda Wong,69,81
Rin Aoki,69,73
Bridget Powers,68,69
Aylar Lie,67,81
Norman Mineta,67,67
Poppy Morgan,65,65
Rika Matsumoto,65,65
Tricia Devereaux,65,65
Alexandra Quinn,64,64
Kim Chambers,63,73
Jennifer Leak,63,63
Jun Fukuyama,63,63
Alexandra Silk,62,70
Rosalind Hicks,62,64
Dick Peabody,62,62
Bodil Joensen,61,61
Calli Cox,61,61
Mike Horner,60,74
Kaoru Kuroki,60,61
Joanne Latham,60,60
Shigeo Tokuda,59,72
Tabatha Cash,59,61
Michael Lucas,58,68
Dasha Astafieva,58,58
Kelly Nichols,58,58
Allanah Starr,56,56
Haruka Fukuhara,56,56
Tania Russof,56,56
Brian Pumper,55,81
Eric Edwards,54,93
Kyoko Fukada,54,54
Richard Reid,54,54
Herschel Savage,53,60
Giles Corey,53,59
Lilli Carati,53,57
Sota Fukushi,53,53
General Butt Naked,52,52
Giles Deacon,52,52
Jhonen Vasquez,52,52
Megan Leigh,52,52
Roberto Malone,51,62
Michael Stefano,51,51
Ovidie,51,51
Julie Meadows,50,53
Angela Hitler,50,50
Dick Elliott,50,50
Melissa Harrington,49,55
Amber Lee Connors,49,49
Sayer Ji,49,49
Jennifer Welles,48,72
Carmen Hart,48,48
Nick Manning,48,48
Ryan Idol,48,48
Giles Coren,47,48
Constance Cummings,47,47
Frank de Kova,47,47
Julia Channel,47,47
Mihiro,46,82
Anjem Choudary,46,46
Jon Dough,46,46
Marlene Willoughby,46,46
Billy Dee,45,912
Lola Lane,45,45
Michaela Schaffrath,45,45
Twink Caplan,45,45
Shakeela,44,66
Boy Capel,44,44
Dick Ebersol,44,44
Donna Ewin,44,44
