dp,url,cat,title,BN_status
1942906455,https://www.amazon.com/dp/1942906455/?aod=1,,"A Scent of Greek (Out of Olympus #2): Folsom, Tina: 9781942906452: Amazon.com: Books",
B000PH2SA8,https://www.amazon.com/dp/B000PH2SA8/?aod=1,"Cell Phones & Accessories › Accessories › Maintenance, Upkeep & Repairs › Screen Protectors","Amazon.com: BoxWave Screen Protector Compatible with Honeywell Dolphin 99GX (Screen Protector by BoxWave) - ClearTouch Anti-Glare, Anti-Fingerprint, Scratch Proof Matte Film Shield : Cell Phones & Accessories",Not added (1)
B07PT3GLST,https://www.amazon.com/dp/B07PT3GLST/?aod=1,,"Amazon.com: Case Logic Reflect 13"" MacBook Pro Sleeve-Dark Blue, Graphite : Electronics",No button (0)
B08KSCC1HC,https://www.amazon.com/dp/B08KSCC1HC/?aod=1,,"Amazon.com: Ringke Fusion-X Designed for Google Pixel 5 Case (2020), Rugged Pixel 5 Clear Cover, Military Grade Protective TPU Bumper Case for Pixel 5 (6.0 Inch) - Black : Cell Phones & Accessories",No button (0)
2213630798,https://www.amazon.com/dp/2213630798/?aod=1,Books › Foreign Language Books › French,"Amazon.com: L'Etat en Afrique: La politique du ventre (French Edition): 9782213630793: Bayart, Jean-François: Books",
B077ZF37J5,https://www.amazon.com/dp/B077ZF37J5/?aod=1,,Amazon.com: QI Receiver for iPhone 5-5c- SE- 6-6 Plus- 7-7 Plus- iPhone Wireless Receiver- QI Receiver- Charging Receiver - QI Wireless Receiver iPhone- QI Wireless Charging Adapter : Cell Phones & Accessories,No button (0)
1519693001,https://www.amazon.com/dp/1519693001/?aod=1,Books › Literature & Fiction › Dramas & Plays,"Love Song in Sixteen Bars: Garrow, Colin: 9781519693006: Amazon.com: Books",
B01EE579X2,https://www.amazon.com/dp/B01EE579X2/?aod=1,Grocery & Gourmet Food › Beverages › Tea › Green › Matcha,Amazon.com: Matcha green Tea instant sticks : Grocery & Gourmet Food,No button (0)
4778314956,https://www.amazon.com/dp/4778314956/?aod=1,Books › Foreign Language Books › Japanese,Amazon.com: 鬱屈精神科医、占いにすがる: 9784778314958: Books,No button (0)
0099288478,https://www.amazon.com/dp/0099288478/?aod=1,,"The Woman in Black: Hill, Susan: 9780099288473: Amazon.com: Books",
B00DE5H95W,https://www.amazon.com/dp/B00DE5H95W/?aod=1,,Amazon.com: Wolfcraft 6095000 Steel Wool 000 Grit 200 g : Industrial & Scientific,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
1846148804,https://www.amazon.com/dp/1846148804/?aod=1,Books,Cabin Porn: Inspiration for Your Quiet Place Somewhere: Zach Klein: 9781846148804: Amazon.com: Books,Not added (4)
B01MQZYMMS,https://www.amazon.com/dp/B01MQZYMMS/?aod=1,Books › History › Asia,"Amazon.com: Hindu Rulers, Muslim Subjects: Islam, Rights, and the History of Kashmir: 9780691116884: Rai, Mridu: Books",
B004KJET4A,https://www.amazon.com/dp/B004KJET4A/?aod=1,"Musical Instruments › Instrument Accessories › Guitar & Bass Accessories › Amplifier Accessories › Bags, Cases & Covers",Amazon.com: Hardcase HN10S Snare Case 25.4 cm (10 Inches) : Musical Instruments,No button (0)
0007259883,https://www.amazon.com/dp/0007259883/?aod=1,Books › Business & Money › Industries,"Gordon Ramsay's Playing with Fire: Ramsay, Gordon: 9780007259885: Amazon.com: Books",No button (0)
2368527826,https://www.amazon.com/dp/2368527826/?aod=1,Books › Comics & Graphic Novels › Manga,"Amazon.com: Demon Tune - tome 1 (1): 9782368527825: Kodama, Yuki, Daumarie-sauvignon, Xavière: Books",Not added (4)
B078T2T2FL,https://www.amazon.com/dp/B078T2T2FL/?aod=1,,Amazon.com: Huawei Mate 10 Porsche Design Factory Unlocked 256GB Android Smartphone Diamond Black : Cell Phones & Accessories,No button (0)
1501117017,https://www.amazon.com/dp/1501117017/?aod=1,,"The House of the Spirits: A Novel: Allende, Isabel: 9781501117015: Amazon.com: Books",
1613020112,https://www.amazon.com/dp/1613020112/?aod=1,Books › Literature & Fiction › Erotica,"Amazon.com: A Change of Needs: 9781613020111: Allen, Nate: Books",
B079MSX1BK,https://www.amazon.com/dp/B079MSX1BK/?aod=1,,"Amazon.com: Fifty Shades of Grey - Befreite Lust 4K, 2 UHD-Blu-ray : Movies & TV",
1393881254,https://www.amazon.com/dp/1393881254/?aod=1,,"Amazon.com: Fade Away: 9781393881254: Ray, M L: Books",
8478088210,https://www.amazon.com/dp/8478088210/?aod=1,,"Cómo hablar y escuchar a tu ángel de la guarda (Spanish Edition): Kermie Wohlenhaus, Carlos Osses: 9788478088218: Amazon.com: Books",
1496025466,https://www.amazon.com/dp/1496025466/?aod=1,,"Suck Me Dry 3: Pajama Party (Erotic Flash Fiction): Phoenix, Gemini: 9781496025463: Amazon.com: Books",No button (0)
B08L66TXHK,https://www.amazon.com/dp/B08L66TXHK/?aod=1,,"Amazon.com: Sistema KLIP IT PLUS Food Storage Container | 2.2 Litre Leak-Proof, Stackable & Airtight Fridge/Freezer Food Boxes | BPA-Free Plastic | Recyclable with TerraCycle® | 1 Count: Home & Kitchen",No button (0)
B01DJL4CFK,https://www.amazon.com/dp/B01DJL4CFK/?aod=1,,"Amazon.com : The Original Bouncy Bands® for Desks (Black) - Children Love Bouncing Their feet and Feeling The Tension to Relieve Their Anxiety, hyperactivity, Frustration, or Boredom : Office Products",No button (0)
1950565483,https://www.amazon.com/dp/1950565483/?aod=1,Books › Literature & Fiction › Genre Fiction,"A Fresh Start (Crossroad Press Ladies of Horror): Canon, Somer: 9781950565481: Amazon.com: Books",
0615758770,https://www.amazon.com/dp/0615758770/?aod=1,Books › Teen & Young Adult › Literature & Fiction,"Amazon.com: Sexted!: 9780615758770: Coombs, Karen Mueller: Books",
