date_tested,keyword,translation
9/25/2017,习近平+任命+十九大+新官员,Xi Jinping + appoint + 19th Party Congress + new official
9/25/2017,习近平+哈佛,Xi Jinping + Harvard
9/25/2017,孟建柱+王芳,Meng Jianzhu + Wang Fang
9/25/2017,十九大舆论+当局+越战老兵上访,19th Party Congress public opinion + authorities + Vietnam war veterans petition
9/25/2017,修改党+章+习思想+十九大,amend party constitution + Xi Thoughts + 19th Party Congress
9/25/2017,习核心+写入党章+十九大,Xi core + written to party constitution + 19th Party Congress
9/25/2017,维尼+领导人,Winnie the Pooh + leader
9/26/2017,微信群+政治敏感+涉毒+涉爆,WeChat goup chat + politically sensitive + drug-related + explosive-related
9/26/2017,十九大+锵锵三人行,19th Party Congress + Behind the Headlines with Wen Tao
9/26/2017,先闹内乱+动乱分裂+厌战情绪+经济封锁,first stir troubles domestically + chaos and splitism + warwearinesss + economic blockade 
9/26/2017,严惩卖国政府+清算1949年+激化中国,harshly punish traitorous government + account for 1949 + intensify [conflicts in] China
9/26/2017,习近平+维尼,Xi Jinping  + winnie the Pooh
9/26/2017,习王联盟,Xi [Jinping] Wang [Qishan] Alliance
9/26/2017,七上八下+中共+十九大,[Sixty-]seven promotes [sixty-]eight retires + CPC + 19th Party Congress
9/26/2017,习近平+倡议书,Xi Jinping + proposal
9/26/2017,关押大量+加强审查+坐镇共产党,lock up a large amount + increase censorship + leads CPC
9/26/2017,官方紧张心态+牺牲品+芳华,authorities are nervous + sacrifice + Fang Hua
9/26/2017,岐山+海航,Qishan + Hainan Airlines
9/26/2017,盗国贼,state theives 
9/26/2017,十九大前+安保维稳+风声鹤唳,before 19th Party Congress + security check and stability maintenance +  the sound of the wind and the cry of the crane 
9/26/2017,到访+在北京+外国人+西藏,visit + in Beijing + Foreigners + Tibet
9/26/2017,极度腐败+红色通报+自由之家,extremely corrupt + red [arrest] notice + Freedom House
9/26/2017,官官相护+巴结上级+趋炎附势+高校领导,bureaucrats shield one another + bride superior + fawn upon the rich and powerful persons + university leaders
9/26/2017,十九大入常,19th Party Congress enters Politburo Standing Committee 
9/26/2017,严重违纪+何挺+被查,seriously violate + He Ting + under investigation
9/27/2017,中共当局+习王主导+人民日报+盛赞,CCP authorities + Xi [Jinping] Wang [Qishan] take the lead + People's Daily + laud 
9/27/2017,私生子+贯君,bastard + Guan Jun
9/27/2017,隔代指定,successors be picked among those in the generation after next 
9/27/2017,习主席的书+攻势宣传+红宝书,Xi Jinping's book + publicity promotion + the red book
9/27/2017,习近平将超+所有前任,Xi Jinping will surpass + all [his] predecessors 
9/27/2017,分析人士+大国外交+挑战+挫折,analysts + big nation's diplomacy + challenge + setbacks
9/27/2017,中国做出了妥协+习近平+批评人士,China made compromise + Xi Jinping + criticize people
9/27/2017,中国未来+即将召开+权力最大+邓聿文,China's future + about to convenue + [hold] most power + Deng Yuwen
9/27/2017,无所作为+民间+管制+邓聿文,done nothing + civil society + control + Deng Yuwen
9/27/2017,制衡+品格+智慧+邓聿文,power balance + characteristisc + wisdom + Deng Yuwen
9/27/2017,习近平+十九大+第二任期,Xi Jinping + 19th Party Congress + second term
9/27/2017,中常委+卸任+朝日新闻+消息来源,Politburo standing committee + Asahi Shimbun + news sources
9/27/2017,习近平同姓+习酒+销量大跌,share same surname with Xi Jinping + Xi Liquor + sales drop
9/27/2017,敏感话题+演员彭丽媛+锵锵,sensitive topics + actress Peng Liyuan + Qiangqiang [a news talk show]
9/27/2017,19大+锵锵三人行,19th Party Congress + Behind the Headlines with Wen Tao
9/27/2017,十九大+异见人士+抗议活动,19th Party Congress + dissidents + protest
9/27/2017,入藏+十九大+外国人+禁止,enter Tibet + 19th Party Congress + foreigners + forbidden 
9/28/2017,习思想+入党章+外媒,Xi Thought + written to party consitution + foreign media
9/28/2017,习的+政治环境+未来五年+核心地位,Xi's + Political environment + 5 years down the road + core status
9/28/2017,叛乱行为+政治大戏+李净瑜,insurrection + political drama + Li Jingyu
9/28/2017,中共+草木皆兵+风声鹤唳,CCP + paranoia + crane's crying
9/28/2017,反习联盟,Anti-Xi Alliance
9/29/2017,党组书记+李强,party secretary + Li Qiang
9/29/2017,为何不能+反腐体制+猪养肥+给拿下,why not + anti-corruption system + fatten pigs + take down
9/29/2017,加强+审查+西藏旅游+警力,Increase + censorship + Tibet travel + police forces
9/29/2017,中越战争+外界猜测+撤档+芳华,Sino-Vietnam war + speculates + take off the showtime schedule + Fang Hua
9/29/2017,习近平+十九大+巩固权力,Xi Jiping + 19th Party Congress + strengthen power 
9/30/2017,中共+政权垮台,CCP + power collapse 
9/30/2017,严酷的迫害+中共建政+地主与富农,harshly persecutes + CCP built its power + rich landlords and peasants
9/30/2017,十九大人事,19th Party Congress personnel
9/30/2017,习近平+团派+江派,Xi Jinping + Tuanpai + Jiang Clique
10/3/2017,严重践踏+孙政才+政治规矩+罪名,seriously violate + Sun Zhengcai + political norms + charges
10/3/2017,人+孙政才+接班+落+马,People + Sun Zhengcai + Take Over + Downfall
10/3/2017,江泽民垂帘听政,Jiang Zemin interfere with politics behind the scene
10/3/2017,习近平+红色帝国+纳粹主义,Xi Jinping + red empire + Nazism
10/5/2017,实现+强军+战斗力+目标,realize + strengthen the army + combat capacities + goal
10/5/2017,人心向背+我们党+改进作风+群众,unpopular among the people + our party + improve party's work style + the masses
10/5/2017,习近平+横空出世,Xi Jinping + rises suddenly 
10/6/2017,一带一路+丝绸之路经济带+建设+构想,Belt and Road + economic belt of the Silk Road + construct + picture 
10/6/2017,发展+文学艺术+社会+艺术家,development + arts and literature + society + artist 
10/10/2017,军委+总指挥+指挥中心+联合作战,Military Commission + general command + control center + joint operations
10/10/2017,亚洲+外交+安全观+稳定,asia + foreign policy + views of security + stability 
10/10/2017,修订+全面从严治党+准则+新形势下,amend + rule the party strictly + guidelines + under the new situations
10/10/2017,两个务必+我们党+教育实践活动+西柏坡,"Two ""Musts"" + our party + educational activities + Xibaipo"
10/10/2017,促改革+发展+稳增长+调结构,promote reforms + develop + stabalize development + adjust [economic] structures
10/10/2017,党的建设+全国高校+工作会议+思想政治,construction of the party + all universities + work meetings + ideology
10/10/2017,哲学社会科学+座谈会+时代+理论,Philosophy and social sciences + seminars + era + theories 
10/11/2017,党章+反腐败+强调+治党,party constitution + anti-corruption + stress + keep the party in control
10/11/2017,反腐败+奢靡之风+排场+风气,anti-corruption + luxurious lifestyle + extravegance + environment
10/11/2017,惩处+群众+职务多高+触犯,Punish + the masses + how high-ranking one is + violate
10/11/2017,党风廉政建设+加强+工作+王岐山,improve the party's work style and build a clean and honest government + strengthen + work + Wang Qishan
10/11/2017,反腐败+斗争+自信+足够,anti-corruption + fight + confidence + enough
10/11/2017,全会+反腐败+斗争+自信,Plenary + anti-corruption + fight + confidence
10/11/2017,中共十九大+中国梦+习近平,CCP 19th Party Congress + China Dream
10/11/2017,王岐山+章立凡,Wang Qishan + Zhang Lifan
10/11/2017,十九大+王岐山+留任,19th Party Congres + Wang Qishan + stay
10/11/2017,入常+栗战书,enter the Politburo + Li Zhanshu
10/11/2017,入常+连跳两级+陈敏尔,enter the Politburo + jump two ranks up + Chen Min'er
10/11/2017,十+九+大+王岐山+去留,Ten + Nine + Big + Wangqishan + stay or go
10/12/2017,中央+会议+体制改革+各项改革,Central + meeting + structural reform + all kinds of reforms
10/12/2017,会议+召开+指导意见+深改组,meetings + convene + guidance + Comprehensively Deepening Reforms
10/12/2017,减税+增值税+税收+税负,reduce tax + value-added tax + taxation + burden of tax
10/12/2017,习近平+辞职,Xi Jinping + resign
10/13/2017,中国特色社会主义+全面依法治国+宪法+法律,Socialism with Chinese characteristics + comprehensive rule of law + constitution + law
10/13/2017,习仲勋+习远平+父亲+齐心,Xi Zhongxun + Xi Yuanping + Father + Qixin
10/13/2017,军队+强军+视察+部队,Army + strengthen the army + insepct + troops
10/13/2017,五中全会+五年规划+制定+目标,5th Plenum + five-year plan +  make + goals
10/13/2017,发展+推动+政+湖北+考察,development + push + politics + Hubei + Inspection
10/13/2017,几乎没有+女性+言论+革命,almost no + female + express + revolution
