Date Tested,Keyword,Translation,Theme,Category,Keyword Type ,Language,Note,Reference,
07/2016,习包子 习特勒,Steam Bun Xi Xi-tler,People,Gov official,combo,simplified Chinese,"Pejorative nicknames for Chinese President Xi Jinping. 1) In 2013, President Xi dined at a Beijing chain restaurant that serves up steamed buns, which some consider a ""political show"" 2) A Chinese artist created an image of Chinese President Xi Jinping with a crinkled face and a moustache. Chinese netizens compare the joke picture of Xi to Saddam Hussein and Adolf Hitler, hence the codes ""习特勒"" (xí tèlè, literally ""Xi-tler"").",https://chinadigitaltimes.net/space/Steamed_Bun_Xi,
07/2016,周永康 自辩书,Zhou Yongkang Self-defense Letter,Event,Zhou Yongkang Sentence,combo,simplified Chinese,"Reference to a letter allegedly written by China's former security czar Zhou Yongkang while in prison, which defends himself and Bo Xilai against the political coup charge",http://www.epochtimes.com/gb/15/1/24/n4350012.htm,
07/2016,我的最后陈述 薄熙来,My Last Statement Bo Xilai,Event,Bo Xilai Scandal,combo,simplified Chinese,"Reference to Bo Xilai's speech when he wask asked to give his ""final statement"" at trial",http://www.bbc.com/zhongwen/simp/china/2013/08/130826_china_bo_trial_wrap,
07/2016,曾伟 曾庆红,Zeng Wei Zeng Qinghong,People,Gov official,combo,traditional Chinese,Zeng Wei is China's former Vice-President Zeng Qinghong's son who ran business in China's oil and many other industries for a long time and faces a number of corruption accusations. Zeng Wei now resides in Australia.,https://zh.wikipedia.org/wiki/%E6%9B%BE%E4%BC%9F_(%E6%9B%BE%E5%BA%86%E7%BA%A2%E4%B9%8B%E5%AD%90),
07/2016,江泽民 去世,Jiang Zemin Pass Away,People,Gov official,combo,simplified Chinese,"In September 2011, Hong Kong-based Asia Television mistakenly reported that former Chinese President Jiang Zemin had died.",http://www.bbc.com/news/world-asia-pacific-14800253,
07/2016,江泽民 死了,Jiang Zemin Died,People,Gov official,combo,simplified Chinese,"In September 2011, Hong Kong-based Asia Television mistakenly reported that former Chinese President Jiang Zemin had died.",http://www.bbc.com/news/world-asia-pacific-14800253,
07/2016,江主席 去世,President Jiang Pass Away,People,Gov official,combo,simplified Chinese,"In September 2011, Hong Kong-based Asia Television mistakenly reported that former Chinese President Jiang Zemin had died.",http://www.bbc.com/news/world-asia-pacific-14800253,
07/2016,江主席 死,Jiang Zemin Die,People,Gov official,combo,simplified Chinese,"In September 2011, Hong Kong-based Asia Television mistakenly reported that former Chinese President Jiang Zemin had died.",http://www.bbc.com/news/world-asia-pacific-14800253,
07/2016,江泽民其人,Jiang Zemin the Person,People,Gov official,phrase,simplified Chinese,"Name of a book, comics, and a documentary produced by Falun Gong-related groups",http://www.bannedbook.net/forum2/topic5.html,
07/2016,江泽民病逝,Jiang Zemin Die Of Illness,People,Gov official,phrase,simplified Chinese,"In September 2011, Hong Kong-based Asia Television mistakenly reported that former Chinese President Jiang Zemin had died.",http://www.bbc.com/news/world-asia-pacific-14800253,
07/2016,江蛤蟆,Jiang Toad,People,Gov official,phrase,simplified Chinese,A nick name Chinese Internet users gave to Chinese former President Jiang Zemin based on his appearance,http://www.cnn.com/2014/08/01/world/asia/toad-jiang-zemin/,
07/2016,習包子 習特勒,Xi Bun Xi-tler,People,Gov official,combo,traditional Chinese,"Pejorative nicknames for Chinese President Xi Jinping. 1) In 2013, President Xi dined at a Beijing chain restaurant that serves up steamed buns, which some consider a ""political show"" 2) A Chinese artist created an image of Chinese President Xi Jinping with a crinkled face and a moustache. Chinese netizens compare the joke picture of Xi to Saddam Hussein and Adolf Hitler, hence the codes ""习特勒"" (xí tèlè, literally ""Xi-tler"").",https://chinadigitaltimes.net/space/Steamed_Bun_Xi,
07/2016,江澤民 死了,Jiang Zemin Died,People,Gov official,combo,traditional Chinese,"In September 2011, Hong Kong-based Asia Television mistakenly reported that former Chinese President Jiang Zemin had died.",,
07/2016,江澤民其人,Jiang Zemin the Person,People,Gov official,phrase,traditional Chinese,"Name of a book, comics, and a documentary produced by Falun Gong-related groups",http://www.bannedbook.net/forum2/topic5.html,
07/2016,习近平阵营 江派,Xi Jinping Camp Jiang Clique,People,Gov official,combo,simplified Chinese,"Reference to two alleged camps within the CCP, one led by current Chinese President Xi Jinping and the other by former President Jiang Zemin",,
07/2016,十九大争夺战,19th Party Congress Power Fight,Political,Banned book,phrase,simplified Chinese,Reference to the title of a book on China's party politics published in Hong Kong,http://www.staritebook.com/root/Book.asp?ID=2161,
07/2016,彭麻麻 暗斗宋贵妃,Peng Mama Secretly Fight Song Imperial Concubine,Political,Banned book,combo,simplified Chinese,"Reference to a banned political tabloid book published in HK and sold in Causeway Bay Bookstore. ""Peng Mama"" is a nickname for Peng Liyuan, Chinese President Xi Jinping's wife and ""Song Imperial Concubine"" refers to Song Zuying, a Chinese female singer who allegedly had a relationship with former President Jiang Zemin.",http://cwbbooks.com/products.php?product=%E3%80%8A%E5%BD%AD%E9%BA%BB%E9%BA%BB%E6%9A%97%E9%AC%A5%E5%AE%8B%E8%B2%B4%E5%A6%83%E3%80%8B,
07/2016,老江 气杀习大大,Old Jiang More Fierce Than Uncle Xi,Political,Banned book,combo,simplified Chinese,"Reference to a banned political tabloid book published in HK and sold in Causeway Bay Bookstore. ""Old Jiang"" refers to former Chinese President Jiang Zemin and ""Xi Dada"" is a nickname for current President Xi Jinping. There has been an alleged struggle over power between Jiang and Xi.",http://cwbbooks.com/products.php?product=%E3%80%8A%E8%80%81%E6%B1%9F%E6%B0%A3%E6%AE%BA%E7%BF%92%E5%A4%A7%E5%A4%A7%E3%80%8B,
07/2016,韩正 取代李克强,Han Zheng Took Over Li Keqiang,People,Gov official,combo,simplified Chinese,"Reference to the rumor that Chinese President Xi Jinping plans to replace Premier Li Keqiang with Han Zheng, the Communist Party Secretary of Shanghai who is a close ally to Xi",http://www.worldjournal.com/3784905/article-%E7%BF%92%E6%9D%8E%E5%88%86%E6%AD%A7%E5%9A%B4%E9%87%8D-%E6%9D%8E%E5%85%8B%E5%BC%B7%E5%82%B3%E8%A2%AB%E9%9F%93%E6%AD%A3%E5%8F%96%E4%BB%A3/,
07/2016,周永康 薄熙来 政变,Zhou Yongkang Bo Xilai Coup,People,Gov official,combo,simplified Chinese,Zhou Yongkang and Bo Xilai were allegedly planning a coup against incumbent Chinese President Xi Jinping,http://www.voachinese.com/a/zhouyongkang-case-20141205/2547874.html,
07/2016,江泽民 江家帮,Jiang Zemin Jiang Family Clique,People ,Gov official,combo,simplified Chinese,"Jiang clique, aka the Shanghai clique, is an informal group of officials in the CCP, especially those who serve in the Central Committee or the Central Government of China, who rose to prominence in connection to the Shanghai municipal administration under former CPC General Secretary and President Jiang Zemin.",,
07/2016,软禁 江泽民,House Arrest Jiang Zemin,People,Gov official,combo,simplified Chinese,Name of a politics book about Jiang Zemin published in Hong Kong,http://cwbbooks.com/products.php?product=%E3%80%8A%E8%BB%9F%E7%A6%81%E6%B1%9F%E6%BE%A4%E6%B0%91%E3%80%8B,
07/2016,習近平陣營 江派,Xi Jinping Camp Jiang Clique,People ,Gov official,combo,traditional Chinese,"Reference to two alleged camps within the CCP, one led by current Chinese President Xi Jinping and the other by former President Jiang Zemin",,
07/2016,彭麻麻 暗鬥宋貴妃,Peng Mama Secretly Fight Song Imperial Concubine,Political,Banned book,combo,traditional Chinese,"Reference to a banned political tabloid book published in HK and sold in Causeway Bay Bookstore. ""Peng Mama"" is a nickname for Peng Liyuan, Chinese President Xi Jinping's wife and ""Song Imperial Concubine"" refers to Song Zuying, a Chinese female singer who allegedly had a relationship with former President Jiang Zemin.",,
07/2016,老江 氣殺習大大,Old Jiang More Fierce Than Uncle Xi,Political,Banned book,combo,traditional Chinese,"Reference to a banned political tabloid book published in HK and sold in Causeway Bay Bookstore. ""Old Jiang"" refers to former Chinese President Jiang Zemin and ""Xi Dada"" is a nickname for current President Xi Jinping. There has been an alleged struggle over power between Jiang and Xi.",,
07/2016,韓正 取代李克強,Han Zheng Took Over Li Keqiang,People,Gov official,combo,traditional Chinese,"Reference to the rumor that Chinese President Xi Jinping plans to replace Premier Li Keqiang with Han Zheng, the Communist Party Secretary of Shanghai who is a close ally to Xi",,
07/2016,軟禁 江澤民,House Arrest Jiang Zemin,People,Gov official,combo,traditional Chinese,Name of a politics book about Jiang Zemin published in Hong Kong,,
07/2016,好莱坞艳照门种子,Hollywood Sex Photo Gate Torrent,Social,Prurient interest,phrase,simplified Chinese,Torrent files of the leaked sex photo of Hollywood stars,,http://www.baike.com/wiki/%E5%A5%BD%E8%8E%B1%E5%9D%9E%E8%89%B3%E7%85%A7%E9%97%A8&prd=so_1_pic
07/2016,坚守科巴尼 叙利亚,Hold Fast Kobani Syria,Event	,ISIS Crisis,combo,simplified Chinese,"Reference to Episode 18 and 19 in Season 3 of ""On the Road"", a Chinese travel show; the two episodes were filmed in Syria",http://www.ft.com/cms/s/0/4c3e703e-9fd6-11e5-beba-5e33e2b79e46.html#axzz4B6f6nvVs,
07/2016,六四 中共 武力镇压,June 4 CCP violent crackdown,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Reference to the date of Tiananmen Movement and the fact that the CCP deployed military crackdown on the movement,,
07/2016,六四平反,June 4 Vindication,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,A call for the Chinese government to look into and redress the human rights abuses that arose out of the Tiananmen Square crackdown in 1989,,
07/2016,六四 赵紫阳 镇压,June 4 Zhao Ziyang Crackdown,Event,Tiananmen Square Massacre ,combo,simplified Chinese,"Reference to the Tiananmen Movement on June 4, 1989",,
07/2016,天安门六四,Tiananmen June 4,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,"Reference to the Tiananmen Movement on June 4, 1989",,
07/2016,六四天安门,June 4 Tiananmen,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,"Reference to the Tiananmen Movement on June 4, 1989",,
07/2016,纪念六四,Memorize June 4,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,Reference to annual memorials for the Tiananmen Movement,,
07/2016,八九学潮,Eight Nine Student Strike,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,"A commonly used term to refer to the Tiananmen Movement, especially in Hong Kong",,
07/2016,八九六四,Eight Nine Six Four,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,Reference to the date of the Tiananmen Movement,,
07/2016,八九学运,Eight Nine Student Movement,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,"Reference to the student strikes that led the a full scale Tiananmen protests on June 4, 1989",,
07/2016,八九暴乱,Eight Nine Riot,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,Reference to the riots during the Tiananmen Movement in 1989,,
07/2016,八九民运,Eight Nine Democrative Movement,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,"Reference to the Tiananmen Movement on June 4, 1989",,
07/2016,八九民運,Eight Nine Democrative Movement,Event,Tiananmen Square Massacre ,phrase,traditional Chinese,"Reference to the Tiananmen Movement on June 4, 1989",,
07/2016,八九血案,Eight Nine Blood Case,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,Reference to the June 4 1989 Tiananmen Square Massacre,,
07/2016,六四 公开信,June 4 Open Letter,Event,Tiananmen Square Massacre ,combo,simplified Chinese,"Likely referring to an open letter written and signed by overseas Chinese students demanding the CCP unveil ""the truth of June 4""",http://www.wenxuecity.com/news/2015/05/22/4286058_print.html,
07/2016,六四动乱,June 4 Riot,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,"Reference to the riots during the Tiananmen Movement on June 4, 1989",,
07/2016,六四大屠杀,June 4 Mass Murder,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,Reference to the June 4 1989 Tiananmen Square Massacre,,
07/2016,六四戒严部队,June 4 Martial Law Army,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,Reference to the enactment of martial law during the Tiananmen Movement,,
07/2016,坦克 六四 屠杀,Tank June 4 Murder,Event,Tiananmen Square Massacre ,combo,simplified Chinese,"Troops were went to Beijing via tanks to crack down on the Tiananmen Movement, killing an uncertain amount of people",,
07/2016,六四日记,June 4 Diary,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,"Likely referring to the book ""The Critical Moment - Li Peng Diaries"" published in 2010 which contains entries from a diary believed to be written by the former Chinese Premier, Li Peng, covering the events leading up to and shortly after the Tiananmen Square protests of 1989",https://en.wikipedia.org/wiki/The_Critical_Moment,
07/2016,六四暴乱,June 4 Riot,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,"Reference to the riots during the Tiananmen Movement on June 4, 1989",,
07/2016,六四烛光集会,June 4 Candle Vigil,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,Candles are used in almost every memorial vigil for the Tiananmen Movement,,
07/2016,六四血腥屠杀,June 4 Bloody Murder,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,Reference to the June 4 1989 Tiananmen Square Massacre,,
07/2016,六四风波,June 4 Turmoil,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,"&ldquo;storm"" or ""political storm"" was one of the CPC's official terms to refer to the Tiananmen Movement",,
07/2016,勿忘六四,Don't Forget June 4,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,Likely a referecen to the continuous efforts by concerned activists and civil society groups to memorize the Tiananmen Movement,,
07/2016,六四事件 邓小平,June 4 Incident Deng Xiaoping,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Many pointed at Deng Xiaoping as the one that declared the marticial law and military advance on Beijing city during the Tiananmen Movement,https://en.wikipedia.org/wiki/Deng_Xiaoping#Role_in_the_Tiananmen_Square_protests,
07/2016,吾尔开希,Wu'er Kaixi,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,A Chinese dissident of Uyghur heritage known for his leading role during the Tiananmen protests of 1989,https://en.wikipedia.org/wiki/Wu%27erkaixi,
07/2016,捌玖陆肆,8964,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,"Homonym of 8964, a reference to the Tiananmen Movement",,
07/2016,血腥清场内幕,Bloody Clearance Inside Story,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,Reference to the June 4 1989 Tiananmen Square Massacre,,
07/2016,天安门坦克,Tiananmen Tank,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,Tanks advanced on Tiananmen Square on June 4 1989,,
07/2016,天安门屠杀,Tiananmen Murder,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,Reference to the June 4 1989 Tiananmen Square Massacre,,
