Date Tested,Keyword,Translation,Theme,Category,Keyword Type ,Language,Note,Reference,
07/2016,六四 中共 专制,June 4 CCP Dictatorship,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Reference to the role of CCP during the June 4 Movement.,,
07/2016,许家屯 六四,Xu Jiatun June 4,Event,Tiananmen Square Massacre ,combo,simplified Chinese,A Chinese politician and dissident. He was the Chinese Communist Party secretary of Jiangsu Province from 1977 to 1983 and the Governor of Jiangsu from 1977 to 1979.,https://en.wikipedia.org/wiki/Xu_Jiatun,
07/2016,六四镇压 中共,June 4 Crackdown CCP,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Reference to the June 4 1989 Tiananmen Square Massacre,,
07/2016,六四 赵紫阳 坦克,June 4 Zhao Ziyang Tank,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Zhao Ziyang was the Party General Secretary in 1989 and treated the protesters sympathetically.,,
07/2016,坦克 王维林 六四,Tank Wang Weilin June 4,Event,Tiananmen Square Massacre ,combo,simplified Chinese,"Wang Weilin is believed to be the ""tank man"" in the iconic photograph from June 4 1989. His whereabouts are unknown.",,
07/2016,天安门 太子党 事件,Tiananmen Princling Event,Event,Tiananmen Square Massacre ,combo,simplified Chinese,"Likely referring to the rise of princelings after the 1989 Tiananmen Square uprising, in which Deng Xiaoping molded Hu Jintao, member of the princelings, as Jiang Zemin's successor",http://cn.nytimes.com/china/20121114/c14princeling/en-us/,
07/2016,六四 学潮 民运,June 4 Student Strike Democracy Movement,Event,Tiananmen Square Massacre ,combo,simplified Chinese,All three words are common references to the Tiananmen Movement,,
07/2016,开枪 示威 1989年 天安门,Shoot Gun Demonstration Year 1989 Tiananmen,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Reference to the demonstrations and shootings on June 4 1989 Tiananmen Square,,
07/2016,动乱 学潮 1989风波,Riot Student Strike 1989 Turmoil,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Reference to the June 4 1989 Tiananmen Square Movement,,
07/2016,真相 共产党 64屠杀,Truth Communist Party 64 Massacre,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Reference to the June 4 1989 Tiananmen Square Massacre,,
07/2016,六四 天安门广场,June 4 Tiananmen Square,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Date and location of the Tiananmen Movement,,
07/2016,天安门虐杀,Tiananmen Torture and Murder,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,Victoria Park in Hong Kong is where the Hong Kong Alliance holds memorials for the Tiananmen Movement,,
07/2016,六四纪念 维园,June 4 Memorial Victorial Park,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,Reference to the June 4 1989 Tiananmen Square Massacre,,
07/2016,历史的伤口 8964,Wounds of History 8964,Event,Tiananmen Square Massacre ,combo,simplified Chinese,"""Wounds of History"" is the name of a song expressing support for students and democracy wrote during the Tiananmen Movement",https://www.youtube.com/watch?v=SuSheGQfmpQ,
07/2016,六四 坦克人 学生,June 4 Tank Man Student,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Reference to the protestor standing in front of a tank during the Tiananmen Movement.,,
07/2016,天安门大屠杀,Tiananmen Massacre,Event,Tiananmen Square Massacre ,phrase,simplified Chinese,Reference to the June 4 1989 Tiananmen Square Massacre,,
07/2016,六四 赵紫阳 软禁,June 4 Zhao Ziyang House Arrest,Event,Tiananmen Square Massacre ,combo,simplified Chinese,"In the aftermath of the June 4 1989 Tiananmen Square uprising, Zhao Ziyang, who was sympathetic towards student demonstrators, was purged politically and effectively placed under house arrest till his death in 2005.",,
07/2016,六四 血案 邓小平,June 4 Blood Case Deng Xiaoping,Event,Tiananmen Square Massacre ,combo,simplified Chinese,Many pointed at Deng Xiaoping as the one that declared the martial law and military advance on Beijing city during the Tiananmen Movement,https://en.wikipedia.org/wiki/Deng_Xiaoping#Role_in_the_Tiananmen_Square_protests,
