זונה,ז***ה
יהודון,י****ן
כושון,כ***ן
לזיין,ל***ן
מזדיין,מ****ן
ערבוש,ע****ש
ערסוואט,ע*****ט
פרחולה,פ****ה
פרענק,פ***ק
צ׳וח,צ׳*ח
צ׳חצ׳ח,צ׳**ח
שרמוטה,ש***ה
