Theme ,Description ,Examples
Events,Categories related to events,"Arab Spring, Tiananmen Square Massacre, 2008 Beijing Olympics."
Political,Categories related to political issues,"Communist Party of China, religious movements, ethnic groups"
People,Categories with names of people,"Government officials, dissidents"
Social,Categories related to social issues ,"Gambling, illicit goods and services, prurient interests"
Technology,Categories related to technology ,"General technical terms, URLs, applications and services"
Misc,Keywords with no clear context that cannot be classified under other categories or themes,
