,07-12-14-06-05-41,07-12-14-18-08-57,07-13-14-05-52-01,07-13-14-06-12-15,07-13-14-18-15-35,07-14-14-22-12-32,07-15-14-22-30-15,07-16-14-02-34-18,07-16-14-14-37-35,07-16-14-22-21-01,07-17-14-10-23-50,07-17-14-22-26-40,07-18-14-10-29-27,07-18-14-22-32-47,07-19-14-10-36-09,07-19-14-22-39-26,07-20-14-10-42-45,07-20-14-22-46-10,07-21-14-10-49-25,07-21-14-22-52-44,07-22-14-10-56-05,07-22-14-22-59-27,07-23-14-11-03-12
flickr.com,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
kakao.com,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1
line.naver.jp,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1
onedrive.live.com,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
