Result,idx,Date,Source
習平,223976,2024-11-29T23:36:32Z,Base
习平,182171,2024-11-29T23:35:49Z,Base
Xi近Pin,166875,2024-11-29T23:35:47Z,Base
提供 + GHB,127571,2024-11-29T23:35:27Z,Base
产共倒打,124099,2024-11-29T23:35:09Z,Base
刁近,55336,2024-11-29T23:34:54Z,Base
售 + GHB,30403,2024-11-29T23:34:51Z,Base
奧斯卡 + 趙婷,189,2024-11-25T10:26:02Z,https://ol.mingpao.com/ldy/showbiz/latest/20241125/1732519168418/%e9%99%b3%e5%8f%af%e8%be%9b%e7%8d%b2%e9%a0%92%e3%80%8c%e5%82%91%e5%87%ba%e9%9b%bb%e5%bd%b1%e6%88%90%e5%b0%b1%e7%8d%8e%e3%80%8d-%e6%84%9f%e8%ac%9d%e4%ba%a1%e7%88%b6%e6%a0%bd%e5%9f%b9-%e3%80%8a%e7%94%9c%e8%9c%9c%e8%9c%9c%e3%80%8b%e9%9d%a2%e4%b8%9628%e5%b9%b4%e6%8e%80%e5%9b%9e%e6%86%b6%e6%ae%ba
二十大 + 北三环,201,2024-11-24T16:40:19Z,https://botanwang.com/articles/202411/%E7%99%BD%E7%BA%B8%E8%BF%90%E5%8A%A8%E4%B8%A4%E5%91%A8%E5%B9%B4%EF%BC%8C%E7%BD%91%E7%BB%9C%E6%B2%A1%E6%9C%89%E5%BF%98%E8%AE%B0.html
刘晓波 + 诺贝尔,11,2024-11-23T15:29:51Z,https://www.voachinese.com/a/7873916.html
献忠 + 七杀,436,2024-11-23T13:35:04Z,https://chinadigitaltimes.net/chinese/713385.html
贫习近,25,2024-11-21T06:11:12Z,http://politics.people.com.cn/n1/2024/1121/c1001-40366539.html
近平 + 独裁,168,2024-11-20T06:35:48Z,https://www.voachinese.com/a/hk-congress-rally-20241120/7870256.html
89 + 運動,2292,2024-11-15T20:56:09Z,https://www.rfa.org/cantonese/news/german-status-liberty-8964-beijing-tiananmen-square-11152024131609.html
評習近,183,2024-11-12T19:03:48Z,https://www.rfa.org/cantonese/news/china-zhuhai-crash-vehicle-attack-killed-35-before-airshow-11122024115154.html
评习近,3865,2024-11-10T17:47:53Z,https://botanwang.com/articles/202411/%E7%89%B9%E6%9C%97%E6%99%AE%E8%83%9C%E9%80%89%E2%80%9C%E8%B5%B0%E7%BA%BF%E5%AE%A2%E2%80%9D%E4%B8%8D%E5%AE%89%EF%BC%9A%E6%9C%89%E4%BA%BA%E8%AF%95%E5%9B%BE%E8%B5%B6%E5%9C%A8%E4%BB%96%E5%B0%B1%E4%BB%BB%E5%89%8D%E5%85%A5%E5%A2%83%EF%BC%8C%E6%9C%89%E4%BA%BA%E6%8B%85%E5%BF%83%E8%A2%AB%E9%81%A3%E8%BF%94.html
200斤麦子不换肩,1116,2024-11-09T05:58:13Z,https://botanwang.com/articles/202411/%E3%80%96%E5%85%B2%E6%9C%9D%E6%B5%AE%E4%B8%96%E7%BB%98%E3%80%97%E6%99%AE%E4%BA%AC%E7%AA%81%E7%84%B6%E6%91%86%E4%BA%86%E4%B8%AD%E5%85%B1%E4%B8%80%E9%81%93%7C%E4%B9%A0%E8%BF%91%E5%B9%B3%E5%8F%AA%E6%80%95%E8%A6%81%E5%93%AD%E6%99%95%E5%9C%A8%E5%8E%95%E6%89%80.html
xizhongxun,1363,2024-11-06T13:59:40Z,https://www.rfa.org/mandarin/yataibaodao/zhengzhi/ql-xijinping-xi-zhongxun-tv-drama-11062024020254.html
連任 + 習近,707,2024-11-04T14:07:17Z,https://www.rfa.org/cantonese/news/china-article-11042024055844.html
崔允信,0,2024-11-04T12:54:57Z,https://www.rfa.org/cantonese/news/htm/taiwan-vincent-chui-ying-e-chi-independent-movie-11042024050852.html
金正恩 + 獨裁,1803,2024-11-04T05:07:59Z,https://www.rfa.org/cantonese/news/us-election-trump-harris-11032024211535.html
维尼朝,709,2024-11-02T01:13:37Z,https://www.rfa.org/mandarin/yataibaodao/shehui/al-uk-chinese-halloween-11012024163028.html
尼小熊维,1034,2024-11-01T22:02:24Z,https://botanwang.com/articles/202411/%E2%80%9C%E4%B9%A0%E8%BF%91%E5%B9%B3%E2%80%9D%E2%80%9C%E8%83%A1%E9%94%A6%E6%B6%9B%E2%80%9D%E7%8E%B0%E8%BA%AB%E6%B4%9B%E6%9D%89%E7%9F%B6%E4%B8%87%E5%9C%A3%E8%8A%82%7C%E5%A3%B0%E6%8F%B4%E4%B8%8A%E6%B5%B7%E7%AD%89%E5%9C%B0%E8%A2%AB%E6%8A%93%E6%8D%95%E7%9A%84%E5%B9%B4%E8%BD%BB%E4%BA%BA.html
熊 + 习近,48,2024-11-01T21:53:15Z,https://botanwang.com/articles/202411/%E2%80%9C%E4%B9%A0%E8%BF%91%E5%B9%B3%E2%80%9D%E2%80%9C%E8%83%A1%E9%94%A6%E6%B6%9B%E2%80%9D%E7%8E%B0%E8%BA%AB%E6%B4%9B%E6%9D%89%E7%9F%B6%E4%B8%87%E5%9C%A3%E8%8A%82%7C%E5%A3%B0%E6%8F%B4%E4%B8%8A%E6%B5%B7%E7%AD%89%E5%9C%B0%E8%A2%AB%E6%8A%93%E6%8D%95%E7%9A%84%E5%B9%B4%E8%BD%BB%E4%BA%BA.html
