Result,idx,Date,Source
习上李下,119,2024-12-06T04:39:30Z,https://botanwang.com/articles/202412/%E3%80%96%E5%BE%AE%E5%8D%9A%E8%B0%88%E3%80%97%E6%9C%89%E4%BA%9B%E4%BA%BA%E6%80%BB%E5%96%9C%E6%AC%A2%E7%BB%99%E4%B9%A0%E8%BF%91%E5%B9%B3%E5%B9%BB%E6%83%B3%E5%87%BA%E4%B8%80%E4%B8%AA%E5%AF%B9%E6%89%8B%E6%9D%A5.html
無恥 + 一帶一路,1032,2024-12-05T21:36:37Z,https://www.rfa.org/cantonese/news/china-xi-jinping-one-belt-one-road-12052024131239.html
近平 + 無恥,1027,2024-12-05T21:35:14Z,https://www.rfa.org/cantonese/news/china-xi-jinping-one-belt-one-road-12052024131239.html
習近 + 無恥,1026,2024-12-05T21:04:48Z,https://www.rfa.org/cantonese/news/china-xi-jinping-one-belt-one-road-12052024131239.html
倒退 + 习近,1998,2024-12-05T18:39:24Z,https://rfa.org/mandarin/yataibaodao/2024/12/04/china-feminism-metoo/
近平 + 薄熙來,23,2024-12-05T13:42:07Z,https://www.rfa.org/cantonese/news/china-bo-guagua-bo-xilai-gu-kailai-12052024060744.html
习近 + 终身,1851,2024-12-05T07:02:51Z,https://botanwang.com/articles/202412/%E3%80%96%E5%85%B2%E6%9C%9D%E6%B5%AE%E4%B8%96%E7%BB%98%E3%80%97%E9%99%A4%E4%BA%86%E4%BB%96%E5%8F%AF%E4%BB%A5%E5%B9%B2%E5%88%B0%E6%AD%BB%EF%BC%8C%E4%B8%AD%E5%85%B1%E7%9A%84%E6%B3%95%E5%BE%8B%E6%B2%A1%E6%9C%89%E4%B8%80%E6%9D%A1%E6%98%AF%E8%A2%AB%E8%AE%A4%E7%9C%9F%E6%89%A7%E8%A1%8C%E7%9A%84.html
近平 + 大权旁落,1209,2024-12-04T18:52:24Z,https://botanwang.com/articles/202412/%E4%B9%A0%E4%BA%B2%E4%BF%A1%E8%8B%97%E5%8D%8E%E8%A2%AB%E6%8A%93%E7%9A%84%E4%B8%89%E4%B8%AA%E8%AF%A1%E5%BC%82%E5%A4%84%E5%A6%82%E4%BD%95%E7%9C%8B%EF%BC%9F.html
习近 + 大权旁落,1208,2024-12-04T18:51:33Z,https://botanwang.com/articles/202412/%E4%B9%A0%E4%BA%B2%E4%BF%A1%E8%8B%97%E5%8D%8E%E8%A2%AB%E6%8A%93%E7%9A%84%E4%B8%89%E4%B8%AA%E8%AF%A1%E5%BC%82%E5%A4%84%E5%A6%82%E4%BD%95%E7%9C%8B%EF%BC%9F.html
晒书单 + 习近,10,2024-12-04T17:36:42Z,https://www.voachinese.com/a/7545650.html
书记 + 晒书单,6,2024-12-04T17:35:52Z,https://www.voachinese.com/a/7545650.html
习近 + 专横,1462,2024-12-04T16:55:14Z,https://www.rfa.org/mandarin/zhuanlan/zhongguotoushi/panel-11302023161537.html
近平 + 終身,5,2024-12-04T16:53:48Z,https://www.voacantonese.com/a/xi-move-to-rule-for-life-has-created-challenges-clinton-says-20231109/7348643.html
专横 + 习近,1116,2024-12-04T16:51:05Z,https://botanwang.com/articles/202311/%E4%B8%AD%E5%9B%BD%E5%BD%93%E5%B1%80%E4%B8%BA%E6%9D%8E%E5%85%8B%E5%BC%BA%E4%B8%BE%E8%A1%8C%E7%81%AB%E8%91%AC%7C%E7%8E%B0%E5%9C%BA%E5%92%8C%E7%BD%91%E4%B8%8A%E6%8E%A7%E7%AE%A1%E6%A3%AE%E4%B8%A5.html
习当局,1035,2024-12-04T16:41:30Z,https://botanwang.com/articles/202405/%E9%87%8A%E5%87%BA%E5%BD%AD%E4%B8%BD%E5%AA%9B%E5%86%9B%E8%A3%85%E8%A7%86%E5%AF%9F%E7%85%A7%E6%9C%89%E6%B7%B1%E6%84%8F.html
洗腦 + 習近,526,2024-12-04T16:41:21Z,https://www.rfa.org/cantonese/commentaries/wp/com-09062023085250.html
