Result,idx,Date,Source
习近平 + 大权在握,2711,2023-01-02T11:52:07Z,https://www.rfa.org/mandarin/yataibaodao/zhengzhi/fy1-12192022130305.html
灾难 + 习近,493,2023-01-02T11:56:34Z,https://www.rfa.org/mandarin/zhuanlan/zonghengdalishi/wenge/hist-12212022093557.html
江泽民 + 死了 + 习近平,7,2023-01-02T11:59:51Z,https://botanwang.com/articles/202212/%E6%98%AF%E5%B4%9B%E8%B5%B7%EF%BC%9F%E8%BF%98%E6%98%AF%E5%8A%A0%E9%80%9F%E5%A5%94%E5%90%91%E6%82%AC%E5%B4%96%EF%BC%9F.html
近平赠,333,2023-01-02T12:00:22Z,https://botanwang.com/articles/202212/%E6%98%AF%E5%B4%9B%E8%B5%B7%EF%BC%9F%E8%BF%98%E6%98%AF%E5%8A%A0%E9%80%9F%E5%A5%94%E5%90%91%E6%82%AC%E5%B4%96%EF%BC%9F.html
习总加速,2027,2023-01-02T12:01:09Z,https://botanwang.com/articles/202212/%E6%98%AF%E5%B4%9B%E8%B5%B7%EF%BC%9F%E8%BF%98%E6%98%AF%E5%8A%A0%E9%80%9F%E5%A5%94%E5%90%91%E6%82%AC%E5%B4%96%EF%BC%9F.html
拜登 + 警告 + 习近平,1933,2023-01-02T12:03:49Z,https://botanwang.com/articles/202212/%E4%B9%8C%E6%80%BB%E7%BB%9F%E8%AE%BF%E7%BE%8E%7C%E4%BF%84%E4%BB%A3%E8%A1%A8%E8%AE%BF%E5%8D%8E%7C%E5%B7%A7%E5%90%88%EF%BC%9F.html
习近平 + 称王,623,2023-01-02T12:04:49Z,https://www.rfa.org/mandarin/zhuanlan/zhongguotoushi/panel-12222022092636.html
反习派,1223,2023-01-02T12:05:20Z,https://botanwang.com/articles/202212/%E4%B8%80%E4%BC%97%E9%AB%98%E5%AE%98%E7%BC%BA%E5%B8%AD%E4%B8%AD%E5%85%B1%E4%B8%AD%E5%A4%AE%E7%BB%8F%E6%B5%8E%E4%BC%9A%E8%AE%AE%7C%E6%9F%93%E7%96%AB%E6%88%96%E4%B8%BA%E4%B8%BB%E5%9B%A0.html
垃圾 + 习近,2822,2023-01-02T12:09:13Z,http://politics.people.com.cn/n1/2022/1223/c1001-32592077.html
文革 + 习近平,970,2023-01-02T12:10:13Z,https://botanwang.com/articles/202212/%E8%A5%BF%E6%96%B9%E5%9D%90%E8%A7%86%E4%B8%AD%E5%9B%BD%E8%B5%B0%E5%88%B0%E2%80%9C%E6%96%B0%E6%97%B6%E4%BB%A3%E2%80%9D%EF%BC%9F.html
维尼写史,3659,2023-01-02T12:17:01Z,https://chinadigitaltimes.net/chinese/691154.html
习近平 + 主动退休,259,2023-01-02T12:17:35Z,https://www.rfa.org/mandarin/zhuanlan/yehuazhongnanhai/gx-12092022155329.html
习近平 + 遗体,4299,2023-01-02T12:18:37Z,https://www.rfa.org/mandarin/zhuanlan/yehuazhongnanhai/gx-12092022155329.html
维尼 + 拉清单,3763,2023-01-02T12:19:13Z,https://chinadigitaltimes.net/chinese/691154.html
特色社会主义 + 中共,406,2023-01-02T12:20:10Z,http://politics.people.com.cn/n1/2022/1211/c1001-32584811.html
颐使气指 + 岿然不动,3783,2023-01-02T12:20:47Z,https://chinadigitaltimes.net/chinese/691154.html
祈翠 + 总书记,3803,2023-01-02T12:21:47Z,https://chinadigitaltimes.net/chinese/691154.html
习近平 + 颜面尽失,57,2023-01-02T12:22:12Z,https://www.dw.com/zh/德语媒体：极权的极限/a-64033771?maca=chi-rss-chi-all-1127-rdf
四通桥 + 挂标语,4284,2023-01-02T12:22:56Z,https://chinadigitaltimes.net/chinese/691154.html
习近平 + 死对头,115,2023-01-02T12:24:54Z,https://botanwang.com/articles/202212/%E4%B8%AD%E5%9B%BD%E4%B8%8E%E6%B5%B7%E6%B9%BE%E5%9B%BD%E5%AE%B6%E8%81%94%E5%90%88%E5%A3%B0%E6%98%8E%E6%83%B9%E6%81%BC%E4%BC%8A%E6%9C%97%EF%BC%8C%E5%BE%B7%E9%BB%91%E5%85%B0%E5%8F%AC%E8%A7%81%E4%B8%AD%E5%9B%BD%E9%A9%BB%E4%BC%8A%E5%A4%A7%E4%BD%BF%E8%A1%A8%E8%BE%BE%E4%B8%8D%E6%BB%A1.html
打倒习近平,767,2023-01-02T12:25:35Z,https://botanwang.com/articles/202212/%E3%80%96%E5%BE%AE%E5%8E%86%E5%8F%B2%E3%80%97%E8%BF%99%E6%98%AF%E9%A9%AC%E5%88%97%E4%BF%A1%E5%BE%92%E7%9A%84%E4%BC%98%E8%89%AF%E4%BC%A0%E7%BB%9F.html
习近平 + 刚愎自用,90,2023-01-02T12:26:02Z,https://www.voachinese.com/a/6872613.html
习近平 + 口号 + 打倒,769,2023-01-02T12:26:50Z,https://botanwang.com/articles/202212/%E3%80%96%E5%BE%AE%E5%8E%86%E5%8F%B2%E3%80%97%E8%BF%99%E6%98%AF%E9%A9%AC%E5%88%97%E4%BF%A1%E5%BE%92%E7%9A%84%E4%BC%98%E8%89%AF%E4%BC%A0%E7%BB%9F.html
四通桥 + 抗议标语,182,2023-01-02T12:27:09Z,https://www.rfa.org/mandarin/yataibaodao/renquanfazhi/gf-12122022113526.html
放弃清零 + 习近平,1237,2023-01-02T12:28:10Z,https://www.rfa.org/mandarin/yataibaodao/huanjing/ec-12122022123402.html
习近平 + 反封控,1414,2023-01-02T12:29:18Z,https://chinadigitaltimes.net/chinese/691229.html
坦克人 + 四通桥,487,2023-01-02T12:29:20Z,https://www.rfa.org/mandarin/yataibaodao/renquanfazhi/sc-12122022132716.html
四通桥义士,3523,2023-01-02T12:30:04Z,https://chinadigitaltimes.net/chinese/691229.html
四通桥 + 不做奴才,659,2023-01-02T12:30:36Z,https://www.rfa.org/mandarin/yataibaodao/renquanfazhi/sc-12122022132716.html
雕塑 + 陈维明,1711,2023-01-02T12:31:05Z,https://botanwang.com/articles/202212/%E6%9F%93%E7%96%AB%E8%80%85%E2%80%9C%E7%94%9F%E8%9B%87%E2%80%9D%E7%8E%87%E5%A4%A7%E5%A2%9E%7C%E9%80%8F%E8%A7%86%E4%B8%AD%E5%85%B1%E4%B8%8E%E8%9B%87%E6%B8%8A%E6%BA%90.html
近平 + 躺平,1157,2023-01-02T12:31:56Z,https://botanwang.com/articles/202212/%E4%B9%A0%E8%BF%91%E5%B9%B3%E5%B0%B1%E5%9C%B0%E8%BA%BA%E5%B9%B3%7C%E5%8F%AA%E5%9B%A0%E5%8F%A3%E8%A2%8B%E6%B2%A1%E9%92%B1%E4%BA%86.html
习近平 + 倒行逆施,509,2023-01-02T12:32:42Z,https://botanwang.com/articles/202212/%E9%A3%8E%E4%BA%91%E5%9B%9B%E8%B5%B7%7C%E4%B9%A0%E8%BF%91%E5%B9%B3%E5%A6%82%E4%BD%95%E7%BB%88%E5%B1%80%EF%BC%9F.html
近平 + 倒车,510,2023-01-02T12:33:34Z,https://botanwang.com/articles/202212/%E9%A3%8E%E4%BA%91%E5%9B%9B%E8%B5%B7%7C%E4%B9%A0%E8%BF%91%E5%B9%B3%E5%A6%82%E4%BD%95%E7%BB%88%E5%B1%80%EF%BC%9F.html
四通桥 + 坦克人,3893,2023-01-02T12:34:09Z,https://chinadigitaltimes.net/chinese/691133.html
彭载舟 + 习近平,846,2023-01-02T12:34:41Z,https://botanwang.com/articles/202212/%E9%A3%8E%E4%BA%91%E5%9B%9B%E8%B5%B7%7C%E4%B9%A0%E8%BF%91%E5%B9%B3%E5%A6%82%E4%BD%95%E7%BB%88%E5%B1%80%EF%BC%9F.html
终身制 + 总书记,510,2023-01-02T12:36:13Z,https://botanwang.com/articles/202212/2022%E5%B9%B4%7C%E4%B9%A0%E8%BF%91%E5%B9%B3%E7%9B%9B%E6%9E%81%E8%80%8C%E8%A1%B0.html
习近平 + 好大喜功,1393,2023-01-02T12:37:16Z,https://botanwang.com/articles/202212/2022%E5%B9%B4%7C%E4%B9%A0%E8%BF%91%E5%B9%B3%E7%9B%9B%E6%9E%81%E8%80%8C%E8%A1%B0.html
