Date Tested,Keyword,Translation,# of Components,Language
07/2016,六四+公开信,June 4 Open Letter,2,simplified Chinese
07/2016,六四动乱,June 4 Riot,1,simplified Chinese
07/2016,六四大屠杀,June 4 Mass Murder,1,simplified Chinese
07/2016,六四戒严部队,June 4 Martial Law Army,1,simplified Chinese
07/2016,坦克+六四+屠杀,Tank June 4 Murder,3,simplified Chinese
07/2016,六四日记,June 4 Diary,1,simplified Chinese
07/2016,六四暴乱,June 4 Riot,1,simplified Chinese
07/2016,六四烛光集会,June 4 Candle Vigil,1,simplified Chinese
07/2016,六四血腥屠杀,June 4 Bloody Murder,1,simplified Chinese
07/2016,六四风波,June 4 Turmoil,1,simplified Chinese
07/2016,勿忘六四,Don't Forget June 4,1,simplified Chinese
07/2016,六四事件+邓小平,June 4 Incident Deng Xiaoping,2,simplified Chinese
07/2016,吾尔开希,Wu'er Kaixi,1,simplified Chinese
07/2016,捌玖陆肆,8964,1,simplified Chinese
07/2016,血腥清场内幕,Bloody Clearance Inside Story,1,simplified Chinese
07/2016,天安门坦克,Tiananmen Tank,1,simplified Chinese
07/2016,天安门屠杀,Tiananmen Murder,1,simplified Chinese
07/2016,天安门母亲,Tiananmen Mother,1,simplified Chinese
07/2016,天安门流血,Tiananmen Bleeding,1,simplified Chinese
07/2016,天安门自焚,Tiananmen Self-immolation ,1,simplified Chinese
07/2016,天安门风波,Tiananmen Turmoil,1,simplified Chinese
07/2016,六四+血腥+镇压,June 4 Bloody Crackdown,3,simplified Chinese
07/2016,毋忘六四,Don't Forget June 4,1,traditional Chinese
07/2016,绝食+声援学生+天安门广场,Hunger Strike Support Student Tiananmen Square,3,simplified Chinese
07/2016,天安门学潮,Tiananmen Student Srike,1,simplified Chinese
07/2016,记念六四,Memorize June 4,1,simplified Chinese
07/2016,赵紫阳+六四自辩,Zhao Ziyang June 4 Self-defense,2,simplified Chinese
07/2016,八酒六四,Homonym of 8964,1,simplified Chinese
07/2016,六四学潮,June 4 Student Strike,1,simplified Chinese
07/2016,89民运+邓小平+镇压,89 Democracy Movement Deng Xiaoping Crackdown,3,simplified Chinese
07/2016,中共+血腥镇压+专制,CCP Bloody Crackdown Dictatorship,3,simplified Chinese
07/2016,平反六四,Vindicate June 4,1,simplified Chinese
07/2016,六四+公開信,June 4 Open Letter,2,traditional Chinese
07/2016,六四+坦克+屠城,June 4 Tank Mass Murder,3,simplified Chinese
07/2016,六四日記,June 4 Diary,1,traditional Chinese
07/2016,六四+悼念+烛光晚会,June 4 Memory Candle Vigil,3,simplified Chinese
07/2016,六四纪念馆,June 4th Memorial,1,simplified Chinese
07/2016,六四+刘晓波,June 4 Liu Xiaobo,2,simplified Chinese
07/2016,天安门屠夫,Tiananmen Murderer,1,simplified Chinese
07/2016,镇压学生+戒严部队+天安门广场,Crackdown Student Martial Law Troup Tiananmen Square ,3,simplified Chinese
07/2016,六四+方励之,June 4 Fang Lizhi,2,simplified Chinese
07/2016,六四+屠杀+赵紫阳,June 4 Murder Zhao Ziyang,3,simplified Chinese
07/2016,六四+纪念+王丹,June 4 Memorize Wang Dan,3,simplified Chinese
07/2016,江绵恒+软禁,Jiang Mianheng House Arrest,2,simplified Chinese
07/2016,六四+中共+专制,June 4 CCP Dictatorship,3,simplified Chinese
07/2016,许家屯+六四,Xu Jiatun June 4,2,simplified Chinese
07/2016,六四镇压+中共,June 4 Crackdown CCP,2,simplified Chinese
07/2016,六四+赵紫阳+坦克,June 4 Zhao Ziyang Tank,3,simplified Chinese
07/2016,坦克+王维林+六四,Tank Wang Weilin June 4,3,simplified Chinese
07/2016,天安门+太子党+事件,Tiananmen Princling Event,3,simplified Chinese
07/2016,六四+学潮+民运,June 4 Student Strike Democracy Movement,3,simplified Chinese
07/2016,开枪+示威+1989年+天安门,Shoot Gun Demonstration Year 1989 Tiananmen,4,simplified Chinese
07/2016,动乱+学潮+1989风波,Riot Student Strike 1989 Turmoil,3,simplified Chinese
07/2016,真相+共产党+64屠杀,Truth Communist Party 64 Massacre,3,simplified Chinese
07/2016,六四+天安门广场,June 4 Tiananmen Square,2,simplified Chinese
07/2016,天安门虐杀,Tiananmen Torture and Murder,1,simplified Chinese
07/2016,六四纪念+维园,June 4 Memorial Victorial Park,2,simplified Chinese
07/2016,历史的伤口+8964,Wounds of History 8964,2,simplified Chinese
07/2016,六四+坦克人+学生,June 4 Tank Man Student,3,simplified Chinese
07/2016,天安门大屠杀,Tiananmen Massacre,1,simplified Chinese
07/2016,六四+赵紫阳+软禁,June 4 Zhao Ziyang House Arrest,3,simplified Chinese
07/2016,六四+血案+邓小平,June 4 Blood Case Deng Xiaoping,3,simplified Chinese
07/2016,李鹏+绝食的学生+天安门广场,Li Peng Student on Hunger Strike Tiananmen Square,3,simplified Chinese
07/2016,悼念+维园+六四,Memorial Victoria Park June 4,3,simplified Chinese
07/2016,六四+學生+民主運動,June 4 Student Democracy Movement,3,traditional Chinese
07/2016,六四大屠殺,June 4 Massacre,1,traditional Chinese
07/2016,六四事件+鄧小平,June 4 Event Deng Xiaoping,2,traditional Chinese
07/2016,六四+血腥+鎮壓,June 4 Bloody Crackdown,3,traditional Chinese
07/2016,六四紀念館,June 4 Museum,1,traditional Chinese
07/2016,六四+劉曉波,June 4 Liu Xiaobo,2,traditional Chinese
07/2016,鎮壓學生+戒嚴部隊+天安門廣場,Crackdown Student Martial Law Troup Tiananmen Square ,3,traditional Chinese
07/2016,六四+屠殺+趙紫陽,June 4 Murder Zhao Ziyang,3,traditional Chinese
07/2016,六四紀念+維園,June 4 Memorial Victoria Park,2,traditional Chinese
07/2016,天安门事件,Tiananmen Incident,1,simplified Chinese
07/2016,89年+北京戒严,89 Year Beijing Martial Law,2,simplified Chinese
07/2016,1989+屠杀+天安门广场,1989 Murder Tiananmen Square,3,simplified Chinese
07/2016,1989+民主运动,1989 Democarcy Movement,2,simplified Chinese
07/2016,六四学生领袖,June 4 Student Leader,1,simplified Chinese
07/2016,平反64,Vindicate June 4,1,simplified Chinese
07/2016,血腥+天安门,Bloody Tiananmen,2,simplified Chinese
07/2016,8964+屠杀+纪念,8964 Murder Memorial,3,simplified Chinese
07/2016,六四+镇压+学生,June 4 Crackdown Student,3,simplified Chinese
07/2016,天安门镇压,Tiananmen Crackdown,1,simplified Chinese
07/2016,89年+学潮+镇压,89 Year Student Strike Crackdown,3,simplified Chinese
07/2016,六四+学生+民主运动,June 4 Student Democracy Movement,3,simplified Chinese
07/2016,自由西藏,Free Tibet,1,simplified Chinese
07/2016,藏青会,Tibetan Youth Congress,1,simplified Chinese
07/2016,西藏独立,Tibet Independence (Movement),1,simplified Chinese
07/2016,雪山狮子旗,Snow Lion Flag,1,simplified Chinese
07/2016,自由亞洲電台,Radio Free Asia,1,traditional Chinese
07/2016,wisalstudio+com,wisalstudio com,2,English
07/2016,allah+yolida,For the sake of Allah/God,2,Uyghur 
07/2016,دىن+ئىسلام+يولۋاس,Faith/Religion is Islam,3,Uyghur
07/2016,ئىسلام+ئاۋازى,Voice of Islam,2,Uyghur
07/2016,ئاللاھ+يولىدا,For the sake of Allah/God,2,Uyghur
07/2016,جەننەت+ئاشىق,In love with/enthusiastic for Heaven/Jannah,2,Uyghur
07/2016,بولۇ+شەھىد,Become martyr,2,Uyghur
2016-08-30,15日实行+全市大罢工+灌云+连云港,15 day + carry out City-wide strike + Guanyun + Lianyungang,4,simplified Chinese
2016-09-06,通商宽衣,Facilitate Commerce and Loosen Clothing,1,simplified Chinese
2016-11-25,习核心,Xi Core,1,simplified Chinese
2016-12-01,台湾+声援+中国人权+律师,Taiwan + Voice Support + China Human Rights + Lawyer,4,simplified Chinese
2016-12-08,中共的压力+禁止长平+被迫流亡,Pressure from CCP + Ban Chang Ping + Forced Exile,3,simplified Chinese
2016-12-08,港媒披露+400亿元+内鬼就在会议室,Hong Kong Media Reported + 40 Million Yuan + Double Agent/mole meeting room,3,simplified Chinese
2016-12-07,联合早报网讯+特朗普+蔡英文通电话,United Morning Post/Lianhe Zaobao Report + Trump + Tsai Ing-wen Phone Call,3,simplified Chinese
2016-12-08,中国政府发起+挑衅行为+分离省份,The Chinese government launched + provocation + separation provinces,3,simplified Chinese
2016-12-08,特朗普此舉+激怒中國+背叛國家的省份,Trump this + angered China + betrayal of the country's provinces,3,traditional Chinese
2016-12-08,激怒中国政府+特朗普+外交争端,Angered the Chinese government + Trump + diplomatic disputes,3,simplified Chinese
2016-12-09,习近平逗逗闷子+中共当局+假选举,Xi Jinping funny boredom + the Chinese Communist Party + fake election,3,simplified Chinese
2016-12-09,中国流亡异见人士呼吁特朗普关注人权,Chinese exile dissidents call on Trump to focus on human rights,1,simplified Chinese
2016-12-09,习近平打交道+麻烦之一+危机更加失控,Xi Jinping deal + trouble + crisis more out of control,3,simplified Chinese
