Date Tested,Keyword,Translation,# of Components,Language
2017-01-09,烏坎村民+土地維權+當局非法打壓,Wukan Villiagers + Defend Land Rights + Authorities' illegal crackdown,3,traditional Chinese
2017-01-09,维权人士+中共+打压,Rights Defender + CCP + Crackdown,3,simplified Chinese
2017-01-10,ལྷག་དཀར,Lhakar,1,Tibetan
2017-01-10,被警方击毙+李长福+仍遭警察,Shot Dead By Police + Li Changfu + Still By Police,3,simplified Chinese
2017-01-10,被警方擊斃+李長福+仍遭警察,Shot Dead By Police + Li Changfu + Still By Police,3,traditional Chinese
2017-01-10,中共政权反击+试图清洗+政治伦理,CCP Regime Fight Back + Try to Clean up + Political Ethics ,3,simplified Chinese
2017-01-10,中共政權反擊+試圖清洗+政治倫理,CCP Regime Fight Back + Try to Clean up + Political Ethics ,3,traditional Chinese
2017-01-10,民主抗争+有钱人垄断+反对中共,Democracy Fight + Monopoly of the Rich + Anti-CCP,3,simplified Chinese
2017-01-10,民主抗爭+有錢人壟斷+反對中共,Democracy Fight + Monopoly of the Rich + Anti-CCP,3,traditional Chinese
2017-01-10,李立国+贪腐大案+包养了11名,Li Liguo + Huge Corruption Case + Have 11 Mistresses,3,simplified Chinese
2017-01-10,大抓捕+深圳+邓剑峰+监视居住,Big Huntdown + Shenzhen + Deng Jianfeng + House Arrest,4,simplified Chinese
2017-01-11,习近平将破例+出席达沃斯论坛+寻求连任,Xi Jinping Breaks Routine + Attend Davos + Seek Re-election,3,simplified Chinese
2017-01-11,習近平將破例+出席達沃斯論壇+尋求連任,Xi Jinping Breaks Routine + Attend Davos + Seek Re-election,3,traditional Chinese
2017-01-11,刘飞跃+非法维稳+殃及家属,Liu Feiyue + Illegally Maitain Stability + Bring Collateral Damage to Families,3,simplified Chinese
2017-01-11,劉飛躍+非法維穩+殃及家屬,Liu Feiyue + Illegally Maitain Stability + Bring Collateral Damage to Families,3,traditional Chinese
2017-01-11,34届时轮金刚大灌顶+尊者,34th Kalachakra Initiation + His Holiness,2,simplified Chinese
2017-01-11,34屆時輪金剛大灌頂+尊者,34th Kalachakra Initiation + His Holiness,2,traditional Chinese
2017-01-11,中国当局+达赖喇嘛+流亡藏人,Chinese Authorities + Dalai Lama + Tibetan in Exile,3,simplified Chinese
2017-01-11,李立国+在任期间落马+小金库,Li Liguo + Sacked while in office + Little Coffers,3,simplified Chinese
2017-01-12,宫内节育器+强迫性的残害+中国政府,IUD + Forced Acts of Mutilation + Chinese Govt,3,simplified Chinese
2017-01-12,宮內節育器+強迫性的殘害+中國政府,IUD + Forced Acts of Mutilation + Chinese Govt,3,traditional Chinese
2017-01-12,དུས་དབང+དངོས་གཞི,,2,Tibetan
2017-01-12,བོད་མི,,1,Tibetan
2017-01-12,習核心,Xi Core,1,traditional Chinese
2017-01-12,性愛視頻+張曉江利用+進行打壓,Sex Tape + Zhang Xiaojiang Exploits + Suppress,3,traditional Chinese
2017-01-12,性爱视频+张晓江利用+进行打压,Sex Tape + Zhang Xiaojiang Exploits + Suppress,3,simplified Chinese
2017-01-12,尖锐问题+中国当局迟迟不提交补充报告+回避联会国,Tough Question + Chinese Authorities Delay Submitting Supplementary Report + Avoid UN,3,simplified Chinese
2017-01-12,香港的人权+倒退的状况+免於恐惧,Human Rights in HK + Go Backward + Free of fear,3,simplified Chinese
2017-01-12,香港的人權+倒退的狀況+免於恐懼,Human Rights in HK + Go Backward + Free of fear,3,traditional Chinese
2017-01-12,习近平+公开信,Xi Jinping + Open Letter,2,simplified Chinese
2017-01-12,習近平+公開信,Xi Jinping + Open Letter,2,traditional Chinese
2017-01-13,銅鑼灣書店+員工失蹤事件+旺角騷亂,Causeway Bay Books + Staff Went Missing + Mongkok Riot,3,traditional Chinese
2017-01-13,铜锣湾书店+员工失踪事件+旺角骚乱,Causeway Bay Books + Staff Went Missing + Mongkok Riot,3,simplified Chinese
2017-01-17,新浪帮我强制休假+被请过喝茶,Sina Foces me to Take a Vacation + Invited to Drink Tea,2,simplified Chinese
2017-01-17,南德意志报+妖魔化成新敌人+习近平+充满了讽刺,Suddeutsche Zeitung + Demonized as New Enemy + Xi Jinping + Full of Irony,4,simplified Chinese
2017-01-17,南德意志報+妖魔化成新敵人+習近平+充滿了諷刺,Suddeutsche Zeitung + Demonized as New Enemy + Xi Jinping + Full of Irony,4,traditional Chinese
2017-01-17,德国之声+习近平+民粹主义+达沃斯,Deutsche Welle + Xi Jinping + Nationalism + Davos,4,simplified Chinese
2017-01-17,德國之聲+習近平+民粹主義+達沃斯,Deutsche Welle + Xi Jinping + Nationalism + Davos,4,traditional Chinese
2017-01-17,马云+中共当局传话者+习近平探路,Ma Yun + CCP Authorities' Mouth-piece + Scout for Xi Jinping,3,simplified Chinese
2017-01-17,馬雲+中共當局傳話者+習近平探路,Ma Yun + CCP Authorities' Mouth-piece + Scout for Xi Jinping,3,traditional Chinese
2017-01-17,邓相超+毛粉+当局的打手,Deng Xiangchao + Maoism Supporter + Thug for the Authorities,3,simplified Chinese
2017-01-17,鄧相超+毛粉+當局的打手,Deng Xiangchao + Maoism Supporter + Thug for the Authorities,3,traditional Chinese
2017-01-17,六四+抗议+声援香港,June 4 + Protest + Voice Support Hong Kong,3,simplified Chinese
2017-01-17,不准非议+中国共产党领导+网上流传,Criticism Forbidden + CCP's leadership + Disseminated Online,3,simplified Chinese
2017-01-17,习近平+川普进行了+含蓄的批评,Xi Jinping + Trump Carried Out + Veiled Criticism,3,simplified Chinese
2017-01-17,習近平+川普進行了+含蓄的批評,Xi Jinping + Trump Carried Out + Veiled Criticism,3,traditional Chinese
2017-01-17,孟建柱+习近平+辱毛推墙,Meng Jianzhu + Xi Jinping + Insult Mao (Zedong) and Tear Down (GreaFire) Wall,3,simplified Chinese
2017-01-17,孟建柱+習近平+辱毛推牆,Meng Jianzhu + Xi Jinping + Insult Mao (Zedong) and Tear Down (GreaFire) Wall,3,traditional Chinese
2017-01-18,七不讲+不能讲+普世价值+高瑜,Seven Don't Mentions + Forbbiden Talks + Universal Values + Gao Yu,4,simplified Chinese
2017-01-18,维权事件频发+企业倒闭潮+持续低迷,Rights Protests Hppen Frequently + Wave of Enterprises' Shutdown + Constantly Stagnant,3,simplified Chinese
2017-01-18,維權事件頻發+企業倒閉潮+持續低迷,Rights Protests Hppen Frequently + Wave of Enterprises' Shutdown + Constantly Stagnant,3,traditional Chinese
2017-01-18,各级人大+不合法+无底线自黑,People's Congress at all levels + Illegitimate + Self-deprecation,3,simplified Chinese
2017-01-18,藏人协会+抗议活动+中共压迫,Tibetan Association + Protest + CCP Suppress,3,simplified Chinese
2017-01-18,藏人協會+抗議活動+中共壓迫,Tibetan Association + Protest + CCP Suppress,3,traditional Chinese
2017-01-18,危害国家安全+中国当局+严加控制,Endanger National Security + Chinese Authorities + Strict Control,3,simplified Chinese
2017-01-18,危害國家安全+中國當局+嚴加控制,Endanger National Security + Chinese Authorities + Strict Control,3,traditional Chinese
2017-01-18,习近平关系亲近+官僚气息+刘鹤的影响力,Proximity to Xi Jinping + Bureacratic-Sounding + Liu He's influence,3,simplified Chinese
2017-01-18,Jinping+critical+Washington+elect,,4,English
2017-01-19,必欲除之+祸国殃民+开历史的倒车,Must Get Rid of (Judicial Independence) + Disastrous to the country and the people + Go against the historical trend,3,simplified Chinese
2017-01-19,达沃斯+习近平警惕贸易战+向美国喊话,Davos + Xi Jinping Warns Against Trade War + Send a Message to US,3,simplified Chinese
2017-01-19,達沃斯+習近平警惕貿易戰+向美國喊話,Davos + Xi Jinping Warns Against Trade War + Send a Message to US,3,traditional Chinese
2017-01-19,遭外界质疑+一例佐证+李克强,Meet with Doubts + A Piece of Evidence + Li Keqiang,3,simplified Chinese
2017-01-19,人权律师+江天勇+秘密抓捕,Rights Lawyer + Jiang Tianyong + Secret Arrest,3,simplified Chinese
2017-01-19,尊者+34屆時輪金剛灌頂,Dalai Lama + His Holiness + 34th Kalachakra Initiation,2,traditional Chinese
2017-01-19,约束公民+吹捧毛泽东+限制互联网,Restrict Citizen + Flatter Mao Zedong + Restrict Internet,3,simplified Chinese
2017-01-19,約束公民+吹捧毛澤東+限制互聯網,Restrict Citizen + Flatter Mao Zedong + Restrict Internet,3,traditional Chinese
2017-01-19,帐户已被删除+周强身居要职+效忠习近平,Account has been deleted + Zhou Qiang Holds Promiment Position + Pledge loyalty to Xi Jinping,3,simplified Chinese
2017-01-20,民粹主义+习近平+响亮的耳光,Populism + Xi Jinping + Slab in a face,3,simplified Chinese
2017-01-20,རི+རྒྱལ,,2,Tibetan
2017-01-20,香港独立+维园年宵市场+被封的摊档+政治打压,Hong Kong Independence + Victorial Park New Yark Market + Banned Booth + Political Suppresion,4,simplified Chinese
2017-01-20,香港獨立+維園年宵市場+被封的攤檔+政治打壓,Hong Kong Independence + Victorial Park New Yark Market + Banned Booth + Political Suppresion,4,traditional Chinese
2017-01-20,江天勇+要求中国当局+下落,Jiang Tianyong + Demand Chinese Authorities + Whereabouts,3,simplified Chinese
2017-01-20,江天勇+要求中國當局+下落,Jiang Tianyong + Demand Chinese Authorities + Whereabouts,3,traditional Chinese
2017-01-23,限制了言论自由+习近平到访+大力干涉民主,Limite Freedom of Speech + Xi Jinping's Visit + Intervene in Democracy,3,simplified Chinese
2017-01-23,周强用充满火药味+俯首称臣+习近平从上台,Zhou Qiang's Statement has a strong smell of gunpowder + Bow before + Since Xi Jinping took office,3,simplified Chinese
2017-01-23,争取真普选+支持香港,Fight for True Universal Suffrage + Support Hong Kong,2,simplified Chinese
2017-01-24,毛泽东发动+暴力的文革+习近平,Mao Zedong Launched + Violent Cultural Revolution + Xi Jinping,3,simplified Chinese
2017-01-24,毛澤東發動+暴力的文革+習近平,Mao Zedong Launched + Violent Cultural Revolution + Xi Jinping,3,traditional Chinese
2017-01-24,挑战特朗普+院长周强+司法独立发出的警告,Challenges Trump + Chief Justice Zhou Qiang + Warning Against Judicial Independence,3,simplified Chinese
2017-01-24,律师笔录+中国酷刑+谢阳,Lawyer's deposition + Chinese Curel Torture + Xie Yang,3,simplified Chinese
2017-01-24,律師筆錄+中國酷刑+謝陽,Lawyer's deposition + Chinese Curel Torture + Xie Yang,3,traditional Chinese
2017-01-24,Defenders+China+Human+Rights+arrest,,5,English
2017-01-24,中国的审查者+血腥动乱+毛的政策,China's Censorship + Bloody Riot + Mao's Policy,3,simplified Chinese
2017-01-24,中國的審查者+血腥動亂+毛的政策,China's Censorship + Bloody Riot + Mao's Policy,3,traditional Chinese
2017-01-24,709+李春富+精神分裂,709 + Li Chunfu + Schizophrenia,3,simplified Chinese
2017-01-24,达赖喇嘛+中间道路+西藏,Dalai Lama + Middle Way + Tibet,3,simplified Chinese
2017-01-24,達賴喇嘛+中間道路+西藏,Dalai Lama + Middle Way + Tibet,3,traditional Chinese
2017-01-24,反抗中共,Fight Agasint CCP ,1,simplified Chinese
2017-01-24,失踪+中国维权律师关注组,Missing + China Human Rights Lawyer Concern Group,2,simplified Chinese
2017-01-24,维权律师关注+酷刑程度+高智晟,Human Rights Lawyers  Concern Group + Degree of Torture + Gao Zhisheng,3,simplified Chinese
2017-01-25,中国政坛+党内自由派+清洗残余,Chinese Politics  + Liberals in the CCP + Clean Up the Remnants,3,simplified Chinese
2017-01-25,被习近平利用+清除政敌+独立司法,Used by Xi Jinping + Clean Up Political Enemies + Judicial Independence,3,simplified Chinese
2017-01-25,被習近平利用+清除政敵+獨立司法,Used by Xi Jinping + Clean Up Political Enemies + Judicial Independence,3,traditional Chinese
2017-01-25,周強下台+網絡的封殺+十九大晉身,Zhou Qiang To Step Down + Banned on the Internet + Promoted in 19th Party Congress,3,traditional Chinese
2017-01-25,遑论最高法院+周强院长辞职+拱手送给西方,Not To Mention The Supreme Court + Chief Justice Zhou Qiang (should) Resignate + Hand Over to the West,3,simplified Chinese
2017-01-25,谨以公民身份+敦请周强院长+引咎辞职,As A Citizen + Ask Chief Justice + Take the Blame to Himself and Resign,3,simplified Chinese
2017-01-25,謹以公民身份+敦請周強院長+引咎辭職,As A Citizen + Ask Chief Justice + Take the Blame to Himself and Resign,3,traditional Chinese
2017-01-25,欧盟不停批评+关闭自己的市场+习近平,EU Keeps Criticizing + Close its Own Market + Xi Jinping,3,simplified Chinese
2017-01-25,歐盟不停批評+關閉自己的市場+習近平,EU Keeps Criticizing + Close its Own Market + Xi Jinping,3,traditional Chinese
2017-01-25,远华+贾庆林+江泽民,Yuanhua + Jia Qinglin + Jiang Zemin,3,simplified Chinese
2017-01-25,惩罚中国+自身垮台+习近平,Punish China + Collapse By Itself + Xi Jinping,3,simplified Chinese
2017-01-25,逼迫北京+一边倒的贸易+阻止特朗普,Force Beijing + Lopsided trade + Stop Trump,3,simplified Chinese
2017-01-25,逼迫北京+一邊倒的貿易+阻止特朗普,Force Beijing + Lopsided trade + Stop Trump,3,traditional Chinese
2017-01-26,习近平+纳那亚卡拉分析+腐败的根源,Xi Jingping + Nanayakkara Analyzed + Roots of Corruption,3,simplified Chinese
2017-01-26,習近平+納那亞卡拉分析+腐敗的根源,Xi Jingping + Nanayakkara Analyzed + Roots of Corruption,3,traditional Chinese
2017-01-26,网络黑屋子+中国政府+审查和控制,Internet Black House + Chinese Govt + Censroship and Control,3,simplified Chinese
2017-01-27,胡春华+陪同下逛西湖路花市+习近平正面支持,Hu Chunhua + Walk Around Xihu Road Flower Market under Accompany + Xi Jinping Positive Support,3,simplified Chinese
2017-01-27,高调曝光+习近平的正面+十九大前奏,High-profile exposure + Xi Jinping's Positive (Support) + Prelude to 19th Party Congress,3,simplified Chinese
2017-01-27,胡春華+陪同下逛西湖路花市+習近平正面支持,Hu Chunhua + Walk Around Xihu Road Flower Market under Accompany + Xi Jinping Positive Support,3,traditional Chinese
2017-01-27,高調曝光+習近平的正面+十九大前奏,High-profile exposure + Xi Jinping's Positive (Support) + Prelude to 19th Party Congress,3,traditional Chinese
2017-01-30,谢阳刑讯逼供+控告后援团,Xie Yang Extorted a Confession by Torture + Accusations Back Up,2,simplified Chinese
2017-01-30,謝陽刑訊逼供+控告後援團,Xie Yang Extorted a Confession by Torture + Accusations Back Up,2,traditional Chinese
2017-01-30,春晚+愚民工程+萎大的奴隶制度,Spring Festival Gala + Fool Citizens Project + Withered Slavery,3,simplified Chinese
2017-01-30,春晚+愚民工程+萎大的奴隸制度,Spring Festival Gala + Fool Citizens Project + Withered Slavery,3,traditional Chinese
2017-01-30,自焚抗议+达赖喇嘛+中共+人权,Self-Immolation Protest + Dalai Laima + CCP + Human Rights,4,simplified Chinese
2017-01-30,中共当局+摧毁西藏+支持西藏,CCP Authorities + Destroy Tibet + Support Tibet,3,simplified Chinese
2017-01-30,上海帮+团派+习近平,Shanghai Clique + Youth League Faction + Xi Jinping,3,simplified Chinese
2017-01-30,包括春晚+威权国家+寄生宿主,Spring Festival Gala Included + Authoritarian State + Parasitic Host,3,simplified Chinese
2017-01-30,包括春晚+威權國家+寄生宿主,Spring Festival Gala Included + Authoritarian State + Parasitic Host,3,traditional Chinese
2017-01-31,facebook+习近平+开户,facebook + Xi Jinping + Opened an Account,3,simplified Chinese
2017-01-31,被抓+肖建华+香港,Arrested + Xiao Jianhua + Hong Kong,3,simplified Chinese
2017-01-31,被抓+肖建華+香港,Arrested + Xiao Jianhua + Hong Kong,3,traditional Chinese
2017-01-31,abducted+corruption+Chinese+Jianhua,,4,English
2017-01-31,陈破空+清算VPN+诸如六四周年,Chen Pokong + Crackdown on VPN + June 4 Anniversay For Example,3,simplified Chinese
2017-01-31,封杀VPN+习近平完成集权+十九大,Block VPN + Xi Jinping Finishes Cosolidating Power + 19th Party Congress,3,simplified Chinese
2017-01-31,封殺VPN+習近平完成集權+十九大,Block VPN + Xi Jinping Finishes Cosolidating Power + 19th Party Congress,3,traditional Chinese
2017-01-31,谢阳+陈建刚+被抓捕+被审讯,Xie Yang + Chen Jiangang + Arrested + Interrogated ,4,simplified Chinese
2017-01-31,谢阳+指定监视居住+轮班审讯,Xie Yang + Residential Confinement at Designated Residence  + Take TShift to Intrerogate,3,simplified Chinese
2017-01-31,謝陽+指定監視居住+輪班審訊,Xie Yang + Residential Confinement at Designated Residence  + Take TShift to Intrerogate,3,traditional Chinese
2017-01-31,文化大革命+精神是自由的+谢阳本人无罪,Cultural Revolution + Spirits Are Free + Xie Yang Myself Innocent,3,simplified Chinese
2017-01-31,文化大革命+精神是自由的+謝陽本人無罪,Cultural Revolution + Spirits Are Free + Xie Yang Myself Innocent,3,traditional Chinese
2017-02-02,肖建华+习,Xiao Jianhua + Xi (Jinping),2,simplified Chinese
2017-02-02,肖建華+習,Xiao Jianhua + Xi (Jinping),2,traditional Chinese
2017-02-02,六四+肖建华,June 4 + Xiao Jianhua,2,simplified Chinese
2017-02-02,被控制+肖建华+明天系,Controlled + Xiao Jianhua + Tomorrow Group,3,simplified Chinese
2017-02-02,被控制+肖建華+明天系,Controlled + Xiao Jianhua + Tomorrow Group,3,traditional Chinese
2017-02-02,肖建华+八九民运,Xiao Jianhua + 89 Democratic Movement,2,simplified Chinese
2017-02-02,肖建華+八九民運,Xiao Jianhua + 89 Democratic Movement,2,traditional Chinese
2017-02-02,黄琦+维权人士+六四天网,Huang Qi + Rights Defender + June 4 Tianwang ,3,simplified Chinese
2017-02-02,酷刑+维权律师+高智晟,Torture + Rights Lawyer + Gao Zhisheng,3,simplified Chinese
2017-02-02,习近平+中共暴政,Xi Jinping + CCP Repressive Regime,2,simplified Chinese
2017-02-02,習近平+中共暴政,Xi Jinping + CCP Repressive Regime,2,traditional Chinese
2017-02-03,肖建华+近平,Xiao Jianhua + Jinping,2,simplified Chinese
2017-02-03,肖建華+近平,Xiao Jianhua + Jinping,2,traditional Chinese
2017-02-03,天安门+博物馆北侧+交通事故,Tiananmen + North of (National) Museum + Traffic Accident,3,simplified Chinese
2017-02-03,天安門+博物館北側+交通事故,Tiananmen + North of (National) Museum + Traffic Accident,3,traditional Chinese
2017-02-03,权力斗争+习近平+太子党,Power struggle + Xi Jinping + Princeling,3,simplified Chinese
2017-02-03,權力鬥爭+習近平+太子黨,Power struggle + Xi Jinping + Princeling,3,traditional Chinese
2017-02-03,习近平+习家军+忠于自己,Xi Jinping + Xi's Army + Loyal to Himself,3,simplified Chinese
2017-02-03,大抓捕+709+谢阳+维权律师,Mass Arrest + 709 + Xie Yang + Rights Lawyer,4,simplified Chinese
2017-02-03,大抓捕+709+謝陽+維權律師,Mass Arrest + 709 + Xie Yang + Rights Lawyer,4,traditional Chinese
2017-02-03,胡石根+大抓捕+秘密审判,Hu Shigen + Mass Arrest + Secret Interrogation,3,simplified Chinese
2017-02-03,709大抓捕+人权捍卫者+剥夺会见权,709 Mass Arrest + Human Rights Defender + Deprived of Right to Meet,3,simplified Chinese
2017-02-03,失联+曾飞洋+劳工,Lost Contact + Zeng Feiyang + Labour,3,simplified Chinese
2017-02-04,709+大抓捕+指定居所监视,709 + Mass Arrest + Residential Confinement at Designated Residence ,3,simplified Chinese
2017-02-04,中国大陆+王全璋的妻子+家属的打压,Mainland China + Wang Quanzhang's Wife + Harassement on Relatives,3,simplified Chinese
2017-02-04,须有的构陷+江天勇+报复和打压,Unfounded framing + Jiang Tianyong + Revenge and Surpression,3,simplified Chinese
2017-02-04,須有的構陷+江天勇+報復和打壓,Unfounded framing + Jiang Tianyong + Revenge and Surpression,3,traditional Chinese
2017-02-04,探望江天勇+中国当局+有些顾忌,Visit Jiang Tianyong + Chinese Authorities + Some Concerns,3,simplified Chinese
2017-02-04,看望遭羁押+起诉公安部+江天勇,Visit Detained + Sue Ministry of Public Security + Jiang Tianyong,3,simplified Chinese
2017-02-05,李文足+消除影响+颜色革命,Li Wenzu + Eliminate Ill Effects + Color Revolution,3,simplified Chinese
2017-02-05,李文足+消除影響+顏色革命,Li Wenzu + Eliminate Ill Effects + Color Revolution,3,traditional Chinese
2017-02-05,王峭岭+中共+709大抓捕,Wang Qiaoling + CCP + 709 Mass Arrest,3,simplified Chinese
2017-02-05,王峭嶺+中共+709大抓捕,Wang Qiaoling + CCP + 709 Mass Arrest,3,traditional Chinese
2017-02-05,中共暴政+唐荆陵+家属被打压,CCP Tyrannical Rule + Tang Jingling + Relatives Are Suppressed ,3,simplified Chinese
2017-02-05,中共暴政+唐荊陵+家屬被打壓,CCP Tyrannical Rule + Tang Jingling + Relatives Are Suppressed ,3,traditional Chinese
2017-02-07,习近平独裁+特朗普+任意逮捕记者,Xi Jinping Autocracy + Trump + Arrest Journalists Arbitrarily,3,simplified Chinese
2017-02-07,習近平獨裁+特朗普+任意逮捕記者,Xi Jinping Autocracy + Trump + Arrest Journalists Arbitrarily,3,traditional Chinese
2017-02-07,张德江+中央唯一支持的人选+钦点,Zhang Dejiang + The Only Candidate Approved by Central Government + Appointed,3,simplified Chinese
2017-02-07,天安门+恐怖袭击+翻车,Tiananmen Square + Terrorist Attack + Car Accident,3,simplified Chinese
2017-02-07,颠覆国家政权+中国人权+秦永敏,Subvert State Power + China Human Rights + Qin Yongmin,3,simplified Chinese
2017-02-07,中国人权+批评中国政府,China Human Rights + Criticize Chinese Government,2,simplified Chinese
2017-02-07,肖建华+中共权斗+曾庆红,Xiao Jianhua + CCP Power Struggle + Zeng Qinghong,3,simplified Chinese
2017-02-07,肖建華+中共權鬥+曾慶紅,Xiao Jianhua + CCP Power Struggle + Zeng Qinghong,3,traditional Chinese
2017-02-07,江泽民+曾庆红+大老虎,Jiang Zemin + Zeng Qinghong + Big Tiger,3,simplified Chinese
2017-02-07,肖建华+声明+被绑架+被删除,Xiao Jianhua + Statement + Abducted + Deleted,4,simplified Chinese
2017-02-07,肖建華+聲明+被綁架+被刪除,Xiao Jianhua + Statement + Abducted + Deleted,4,traditional Chinese
2017-02-07,肖建华+邓家贵,Xiao Jianhua + Deng Jiagui,2,simplified Chinese
2017-02-07,肖建華+鄧家貴,Xiao Jianhua + Deng Jiagui,2,traditional Chinese
2017-02-07,央妈的智慧之处+财务欺诈+自家那本帐,Wisdom of Central Mother (People's Bank of China) + Accounting Fraud + Own Accounting Books,3,simplified Chinese
2017-02-07,央媽的智慧之處+財務欺詐+自家那本帳,Wisdom of Central Mother (People's Bank of China) + Accounting Fraud + Own Accounting Books,3,traditional Chinese
2017-02-07,中共19大+习近平+第二个任期+如何强硬,CCP 19th Party Congress + Xi Jinping + Second Term + How Strong,4,simplified Chinese
2017-02-07,江泽民时期+放纵腐败+胡锦涛+被架空,Jiang Zemin Period + Give Corruption on a Loose Rein + Hu Jintao + Power taken away,4,simplified Chinese
2017-02-08,龙镇洋辞职信+加速再文革+政治体制+破灭,Long Zhenyang Resignation Letter + Accelerate Cultrual Revolution Again + Political Reform + Disillusion,4,simplified Chinese
2017-02-08,重回文革+龙镇洋+寻求政治庇护,Return to Cultural Revolution + Long Zhenyang + Seek Political Assylum,3,simplified Chinese
2017-02-08,重回文革+龍鎮洋+尋求政治庇護,Return to Cultural Revolution + Long Zhenyang + Seek Political Assylum,3,traditional Chinese
2017-02-08,乌坎关注团+打着党旗+庄烈宏,Wukan Concerned Group + Bring Party Flag + Zhuang Liehong,3,simplified Chinese
2017-02-08,芮成钢+中国当局+周强胡吹海吹,Rui Chenggang + Chinese Authorities + Zhou Qiang Brags,3,simplified Chinese
2017-02-08,芮成鋼+中國當局+周強胡吹海吹,Rui Chenggang + Chinese Authorities + Zhou Qiang Brags,3,traditional Chinese
2017-02-10,威胁中共+下令媒体避免报道+特朗普不利,Threaten CCP + Order Media To Avoid Reporting + Critical of Trump,3,simplified Chinese
2017-02-10,威脅中共+下令媒體避免報道+特朗普不利,Threaten CCP + Order Media To Avoid Reporting + Critical of Trump,3,traditional Chinese
2017-02-10,习近平+煽动民粹+专制者的惯用,Xi Jinping + Incite Nationalism + Authocrats' Frequently-used (techniques),3,simplified Chinese
2017-02-10,習近平+煽動民粹+專制者的慣用,Xi Jinping + Incite Nationalism + Authocrats' Frequently-used (techniques),3,traditional Chinese
2017-02-10,人权问题+中国+民众抗议,Human Rights Question + China + Civilian's Protest,3,simplified Chinese
2017-02-10,习近平上台+对外援助+到处乱撒钱,Xi Jinping Took Office + Foreign Aid + Spent Money Randomly,3,simplified Chinese
2017-02-10,特别是习近平为+提供巨额援助+老百姓抱怨,Especially Xi Jinping In Order To + Provide Enourmous Aid + People Complain,3,simplified Chinese
2017-02-10,反人类+中国文革回潮+共产党的暴政,Anti-mankind + China's Cultual Revolution's Comeback + Communist Party's Tyrannical Rule,3,simplified Chinese
2017-02-10,共产党暴力+中共意识形态+旅美中国民运,Communist Party's Violence + CCP Ideology + Chinese Activists Residing in US,3,simplified Chinese
2017-02-10,中国政府+限制藏人旅行+刁难出国,Chinese Govt + Limit Tibetans' Travel + Create Difficulties for Going Abroad,3,simplified Chinese
2017-02-10,中國政府+限制藏人旅行+刁難出國,Chinese Govt + Limit Tibetans' Travel + Create Difficulties for Going Abroad,3,traditional Chinese
2017-02-10,被关押+贾庆林,Under Custody + Jia Qinglin ,2,simplified Chinese
2017-02-13,不重王道+政治控制毫不放松+习近平,No Emphasis on Humane Authority + Not losing Grip on Political Control + Xi Jinping,3,simplified Chinese
2017-02-13,六四+镇压+屠城,June 4 + Crackdown + Massacra,3,simplified Chinese
2017-02-13,权平+习近平+煽动颠覆国家政权,Kwon Pyong + Xi Jinping + Subversion of State Power,3,simplified Chinese
2017-02-13,權平+習近平+煽動顛覆國家政權,Kwon Pyong + Xi Jinping + Subversion of State Power,3,traditional Chinese
2017-02-13,习包子+大撒币,Xi Bun + Big Stupid,2,simplified Chinese
2017-02-13,習包子+大撒幣,Xi Bun + Big Stupid,2,traditional Chinese
2017-02-13,达赖喇嘛+抗暴+西藏流亡政府,Dalai Lama + Fight Against Violence + Tibet Government In Exile,3,simplified Chinese
2017-02-13,達賴喇嘛+抗暴+西藏流亡政府,Dalai Lama + Fight Against Violence + Tibet Government In Exile,3,traditional Chinese
2017-02-13,肖建华+压力太大+大陆,Xiao Jianhua + Too Much Pressure + Mainland,3,simplified Chinese
2017-02-13,肖建華+壓力太大+大陸,Xiao Jianhua + Too Much Pressure + Mainland,3,traditional Chinese
2017-02-13,出版禁书+当局+铜锣湾书店,Publish Banned Books + Authorities + Causeway Bay Bookstore,3,simplified Chinese
2017-02-13,习子规,Standards for being a Good Xi's Pupil and Child,1,simplified Chinese
2017-02-13,習子規,Standards for being a Good Xi's Pupil and Child,1,traditional Chinese
2017-02-13,红军小学+洗脑教育+中共军队,Red Army Primary School + Brainwashing Education + CCP Army,3,simplified Chinese
2017-02-13,紅軍小學+洗腦教育+中共軍隊,Red Army Primary School + Brainwashing Education + CCP Army,3,traditional Chinese
2017-02-14,皮山+袭击+出事,Pishan + Attack + Incident,3,simplified Chinese
2017-02-14,维权组织+新疆的高压政策+地区动荡,Rights Organizations + Xinjiang's Restrictive Policies + Regional Turmoil,3,simplified Chinese
2017-02-14,暗杀同父+毒针杀害+金正日,Assasinate Same Father('s son) + Killed by Poisonous Needle + Kim Jong-il,3,simplified Chinese
2017-02-14,暗殺同父+毒針殺害+金正日,Assasinate Same Father('s son) + Killed by Poisonous Needle + Kim Jong-il,3,traditional Chinese
2017-02-14,皮山+暴恐+击毙,Pishan + Terrorist Attack + Shot Death,3,simplified Chinese
2017-02-15,政府强烈制止+不许碰金正男+中国当局,Govt Strongly Stops + No Touchign Kim Jong-nam + Chinese Authorities,3,simplified Chinese
2017-02-15,政府強烈制止+不許碰金正男+中國當局,Govt Strongly Stops + No Touchign Kim Jong-nam + Chinese Authorities,3,traditional Chinese
2017-02-15,中共决策层+特殊权力结构+攫取财富,CCP Decision-making personale + Special Power Structure + Rip Profits,3,simplified Chinese
2017-02-15,中共決策層+特殊權力結構+攫取財富,CCP Decision-making personale + Special Power Structure + Rip Profits,3,traditional Chinese
